"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Track ""Chamada de API""","Chamada de API","consulta taxas de atencipação do plano","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Tracking ""api resumo""","SPD Taxas e Condicoes {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/safrapay/operacoes-execucoes/servicos-consumidores/antecipacoes-recebiveis/assistente-virtual/v1/estabelecimentos/{{selectedEc@codigoEc}}?view=taxas-antecipacao | GET| {{taxaStatus}} | {{taxaBody}}","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Tracking ""api resumo 2""","SPD Taxas e Condicoes {{state.name}} api resumo 2","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/safra-pay/v1/taxas?idEstabelecimento={{selectedEc@codigoEc}} | GET| {{taxaVendasStatus}} | {{taxaVendasBody}}","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Track ""SPD Taxas e Condicoes {{state.name}} api status""","SPD Taxas e Condicoes {{state.name}} api status","{{taxaStatus}}","context exists variable: taxaStatus "
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Chamada de API","Chamada de API","Consulta máquinas disponíveis para EC.","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Tracking ""api resumo""","SPD Taxas e Condicoes {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/safrapay/dados-referencias/gerenciamento-produtos/catalogo-produtos/assistente-virtual/v1/terminais?codigoEstabelecimentoComercial={{selectedEc@codigoEc}} | GET| {{consultMaquinaStatus}} | {{consultMaquina}}","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.0.0][MSG] Questionar uma cobrança","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.7.0.0][MSG] Questionar uma cobrança","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[DEV] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","Track ""SPD Taxas e Condicoes {{state.name}} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","Track ""SPD Taxas e Condicoes {{state.name}} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","Track ""SPD Taxas e Condicoes {state.name} validação""","SPD Taxas e Condicoes {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","Track ""SPD Taxas e Condicoes {state.name} input inesperado""","SPD Taxas e Condicoes {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Taxas e Condicoes","[TC.2.0.2][SET] ""taxasExibir""","Track ""SPD Taxas e Condicoes {{state.name}} validacao""","SPD Taxas e Condicoes {{state.name}} validacao","{{taxModality}}","context exists variable: taxModality "
"[DEV] SPD Taxas e Condicoes","[TC.7.0.1][MSG] Outro Motivo","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.3.0][MSG] Alugada ou Comprada","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","Chamada de API","Chamada de API","Consulta Máquinas e traz alugadas.","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","Track api status","SPD Taxas e Condicoes {{state.name}} api status 4","{{statusFaturamentoMensal}}","context exists variable: statusFaturamentoMensal "
"[DEV] SPD Taxas e Condicoes","[TC.4.6.0][MSG] Como deseja prosseguir?","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.6.0][MSG] Como deseja prosseguir?","Track validação","SPD Taxas e Condicoes {{state.name}} validação","{{input.content}}","input equals  value: Fazer outra consulta,Encerrar"
