"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] SPD Taxas e Condicoes","Exceções","state","Execução de script",""
"[DEV] SPD Taxas e Condicoes","Exceções","currentDate","Execução de script",""
"[DEV] SPD Taxas e Condicoes","Exceções","voltarState","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","taxaAntecipacao","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","taxaModalidade","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","apiStatus","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","exceptionType","erroApi",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","tipoMaquina","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","sizeMaquinas","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","modalidadeMaquina","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","apiStatus","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","pesquisa","ces",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","exceptionType","erroApi",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","nomeTipoEquipamento","",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","numeroserie","",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","valorTabela","",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","valorPago","",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","faturamentoMensal","",""
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","faturamentoAnual","0",""
"[DEV] SPD Taxas e Condicoes","[TC.7.0.0][MSG] Questionar uma cobrança","dynamicContent","Execução de script",""
"[DEV] SPD Taxas e Condicoes","[TC.7.0.0][MSG] Questionar uma cobrança","pesquisa","resolutividade",""
"[DEV] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","taxModality","{{userInput}}",""
"[DEV] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","exceptionType","quickReply",""
"[DEV] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","taxModality","Vendas Físicas",""
"[DEV] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","exceptionType","lista",""
