"Bot","Bloco","Nome do Script","Endpoint","Metodo","Token","Variavel De Resposta","Variavel De Status","Variavel enviada no body","Descrição"
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","HTTP GET ""taxaBody""","{{config.urlCHT}}/safrapay/operacoes-execucoes/servicos-consumidores/antecipacoes-recebiveis/assistente-virtual/v1/estabelecimentos/{{selectedEc@codigoEc}}?view=taxas-antecipacao","GET","Bearer {{bodyToken@access_token}}","taxaBody","taxaStatus","-",""
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","HTTP GET ""taxaVendasBody""","{{config.urlCHT}}/chat-assistente/safra-pay/v1/taxas?idEstabelecimento={{selectedEc@codigoEc}}","GET","Bearer {{bodyToken@access_token}}","taxaVendasBody","taxaVendasStatus","-",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","HTTP GET ""consultMaquina"" (Terminais)","{{config.urlCHT}}/safrapay/dados-referencias/gerenciamento-produtos/catalogo-produtos/assistente-virtual/v1/terminais?codigoEstabelecimentoComercial={{selectedEc@codigoEc}}","GET","Bearer {{bodyToken@access_token}}","consultMaquina","consultMaquinaStatus","-",""
"[BETA] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","HTTP GET ""bodyAlugueis"" (alugueis)","{{config.urlCHT}}/safrapay/dados-referencias/gerenciamento-produtos/catalogo-produtos/assistente-virtual/v1/alugueis?tipoFiltro=EC&valorFiltro={{selectedEc@codigoEc}}","GET","Bearer {{bodyToken@access_token}}","bodyAlugueis","statusAlugueis","-",""
"[BETA] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","HTTP GET ""bodyApolice"" (apolices)","{{config.urlCHT}}/vendas-servicos/vendas/seguros/assistente-virtual/v1/clientes/{{contaSelecionada@doc}}/apolices?codigoProduto=7105","GET","Bearer {{bodyToken@access_token}}","bodyApolice","statusApolice","-",""
"[BETA] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","HTTP GET ""bodyFaturamentoAnual"" (Faturamento Anual)","{{config.urlCHT}}/safrapay/dados-referencias/gerenciamento-produtos/catalogo-produtos/assistente-virtual/v1/faturamentos?codigoEstabelecimentoComercial={{selectedEc@codigoEc}}&view=Anual","GET","Bearer {{bodyToken@access_token}}","bodyFaturamentoAnual","statusFaturamentoAnual","-",""
"[BETA] SPD Taxas e Condicoes","[TC.4.5.0][HTTP][SET] Alugada","HTTP GET ""bodyFaturamentoMensal"" (Faturamento Mensal)","{{config.urlCHT}}/safrapay/dados-referencias/gerenciamento-produtos/catalogo-produtos/assistente-virtual/v1/faturamentos?codigoEstabelecimentoComercial={{selectedEc@codigoEc}}&view=Mensal","GET","Bearer {{bodyToken@access_token}}","bodyFaturamentoMensal","statusFaturamentoMensal","-",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.0][HTTP] API Taxas de Venda","HTTP GET ""taxaVendasBody""","{{config.urlCHT}}/chat-assistente/safra-pay/v1/taxas?idEstabelecimento={{selectedEc@codigoEc}}","GET","Bearer {{bodyToken@access_token}}","taxaVendasBody","taxaVendasStatus","-",""
"[BETA] SPD Taxas e Condicoes","[TC.2.2.0][HTTP] API Taxas de Antecipação","HTTP GET ""taxaBody"" (taxa)","{{config.urlCHT}}/safrapay/operacoes-execucoes/servicos-consumidores/antecipacoes-recebiveis/assistente-virtual/v1/estabelecimentos/{{selectedEc@codigoEc}}?view=taxas-antecipacao","GET","Bearer {{bodyToken@access_token}}","taxaBody","taxaStatus","-",""
"[BETA] SPD Taxas e Condicoes","[TC.2.2.0][HTTP] API Taxas de Antecipação","HTTP GET ""taxaVendasBody""","{{config.urlCHT}}/chat-assistente/safra-pay/v1/taxas?idEstabelecimento={{selectedEc@codigoEc}}","GET","Bearer {{bodyToken@access_token}}","taxaVendasBody","taxaVendasStatus","-",""
"[BETA] SPD Taxas e Condicoes","[TC.5.0.0][HTTP] API Taxas Pix na SafraPay","HTTP GET ""taxaBody""","{{config.urlCHT}}/safrapay/operacoes-execucoes/servicos-consumidores/antecipacoes-recebiveis/assistente-virtual/v1/estabelecimentos/{{selectedEc@codigoEc}}?view=taxas-antecipacao","GET","Bearer {{bodyToken@access_token}}","taxaBody","taxaStatus","-",""
"[BETA] SPD Taxas e Condicoes","[TC.5.0.0][HTTP] API Taxas Pix na SafraPay","HTTP GET ""taxaVendasBody""","{{config.urlCHT}}/chat-assistente/safra-pay/v1/taxas?idEstabelecimento={{selectedEc@codigoEc}}","GET","Bearer {{bodyToken@access_token}}","taxaVendasBody","taxaVendasStatus","-",""
"[BETA] SPD Taxas e Condicoes","[TC.7.4.0][HTTP] API Protocolo","HTTP POST ""bodyProtocoloBpm"" (Cria Protocolo no Front)","{{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos","POST","Bearer {{bodyToken@access_token}}","bodyProtocoloBpm","statusProtocoloBpm","{{payloadProtocolo}}",""
"[BETA] SPD Taxas e Condicoes","[TC.7.4.0][HTTP] API Protocolo","HTTP POST ""bodyOcorrencia"" (Cria nova ocorrencia)","{{config.urlCHT}}/chat-assistente/protocolos/v1/protocolos/{{idProtocoloBpm}}/ocorrencias","POST","Bearer {{bodyToken@access_token}}","bodyOcorrencia","statusOcorrencia","{{payloadOcorrencia}}",""
"[BETA] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","HTTP GET ""bodyDomicilio""","{{config.urlCHT}}/chat-assistente/safra-pay/v1/domicilios?idEstabelecimento={{selectedEc@codigoEc}}","GET","Bearer {{bodyToken@access_token}}","bodyDomicilio","statusDomicilio","-",""
"[BETA] SPD Taxas e Condicoes","[TC.6.0.0][HTTP] API Domicilio bancario","HTTP GET ""bodyGeraldomicilio""","{{config.urlCHT}}/safrapay/vendas-servicos/vendas/prospeccoes-clientes/assistente-virtual/v1/domicilios-bancarios","GET","Bearer {{bodyToken@access_token}}","bodyGeraldomicilio","statusGeraldomicilio","-",""
