"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] Conta Corrente","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] Conta Corrente","Exceções","Process ""userInput"" if input.content not exist","[""input.content""]","userInput","context notExists variable: input.content "
"[BETA] Conta Corrente","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.2.0.0][MSG] Menu Cartão","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.2.0.0][INPUT] Menu Cartão","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.1][MSG] Não carterizado","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.2][INPUT] Não carterizado","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] Conta Corrente","[Redirect] To Main (Menu inicial)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] Conta Corrente","[Redirect] To  Finalizacao (Finalizar)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.3][MSG] Carterizado","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.4][INPUT] Carterizado","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] Conta Corrente","[Redirect] To  Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.6][MSG] Como podemos ajudar? (emp1)","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.7][INPUT] Como podemos ajudar? (emp1)","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] Conta Corrente","[Redirect] to Atendimento Humano (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] Conta Corrente","[Redirect] Menu anterior","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""assunto""]","state","Sem condicionais para execução"
"[BETA] Conta Corrente","[TC.8.0.0][HTTP] API Pacotes","Process ""apiStatus""","[""statusPacote""]","apiStatus","Sem condicionais para execução"
"[BETA] Conta Corrente","[TC.8.2.0][MSG] Possui pacotes","Process ""pacote""","[""bodyPacote""]","pacote","Sem condicionais para execução"
"[BETA] Conta Corrente","[Redirect] To ""Autenticacao""","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
