"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] DIGEMP-NPS","Início","Retorna Bot origem","[""input.content""]","subBotOrigem","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","[7] Agradecimento","Horario de Abertura do Ticket","[""ticketResponse""]","openHourTicket","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","[7] Agradecimento","Tag do Ticket","[""ticketResponse""]","ticketTags","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","[7] Agradecimento","email Encode Atendente","[""agentIdentity""]","emailEncode","context exists variable: agentIdentity "
"[BETA] DIGEMP-NPS","[7] Agradecimento","Nome Atendente","[""retornoUsuario""]","nomeAtendente","context exists variable: agentIdentity "
"[BETA] DIGEMP-NPS","[7] Agradecimento","GET EMAIL ATENDENTE","[""agentIdentity""]","emailAtendente","context exists variable: agentIdentity "
"[BETA] DIGEMP-NPS","Update contact","Retorna resource","[""statusContact"",""responseContact""]","resourceContact","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","Update contact","Retorna extras","[""statusContact"",""responseContact""]","extrasContact","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","Process ""trackingCsat""","[""config.botIdentity"",""config.botName"",""contact.name"",""contact.identity"",""contact.phoneNumber"",""cpf"",""retornoTicket""]","trackingCsat","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","Process ""menu""","[""input.content""]","menu","input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Process ""menu""","[""score""]","menu","input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Retorno score ST","[""score""]","returnST","context notEquals variable: score value: Input inesperadoand context notEquals variable: input.intent.score value: NaNand input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Process ""trackingCsatNotaClass""","[""score""]","trackingCsatNotaClass","input exists  "
"[BETA] DIGEMP-NPS","Erro Padrão","Process ""errorCount""","[""errorCount""]","errorCount","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","Process ""menu""","[""input.content""]","menu","input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","Process ""trackingCsatMotivo""","[""sugestaoCliente"",""calendar.datetime""]","trackingCsatMotivo","context notEquals variable: sugestaoCliente value: input inesperadoand input exists  "
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","data Hora","[]","dataHora","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","email atendente","[""agentIdentity""]","agentIdentity","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","[Redirect] to Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
