"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] GerenteEmp1","Início","Get phoneNumber","[""tunnel.originator""]","completePhoneNumber","Sem condicionais para execução"
"[BETA] GerenteEmp1","Navegar NPS","CONVERTE DATA E HORA","[]","dataHoraBR","Sem condicionais para execução"
"[BETA] GerenteEmp1","Navegar NPS","email operador","[""agentIdentity""]","emailOperador","Sem condicionais para execução"
"[BETA] GerenteEmp1","Navegar NPS","DEFINE BotOrigem","[]","botOrigem","Sem condicionais para execução"
"[BETA] GerenteEmp1","[Redirect] to NPS","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] GerenteEmp1","[Dados CSAT]","Process ""dataHoraBR""","[]","dataHoraBR","Sem condicionais para execução"
"[BETA] GerenteEmp1","[Dados CSAT]","retorna dataHoraAberturaTicket","[""input.content""]","dataHoraAberturaTicket","Sem condicionais para execução"
"[BETA] GerenteEmp1","[Dados CSAT]","Process ""agentIdentity"" formatado","[""agentIdentity""]","agentIdentity","context exists variable: agentIdentity "
"[BETA] GerenteEmp1","[Dados CSAT]","retorna dataHoraFechamentoTicket","[""input.content""]","dataHoraFechamentoTicket","Sem condicionais para execução"
"[BETA] GerenteEmp1","[Redirect] Finalização","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
