"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Autenticacao","Início","Process ""returnStateAuth""","[""state"",""env"",""config.serviceName""]","returnStateAuth","context equals variable: returnStateAuth value: false"
"[BETA] SPD Autenticacao","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] SPD Autenticacao","Início","Process ""authenticated""","[""authenticated"",""idSessao""]","authenticated","Sem condicionais para execução"
"[BETA] SPD Autenticacao","Início","Process ""bloquearKBA""","[""idSessao"",""bloquearKBA""]","bloquearKBA","Sem condicionais para execução"
"[BETA] SPD Autenticacao","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Autenticacao","Exceções","Process ""userInput"" if input.content not exist","[""input.content""]","userInput","context notExists variable: input.content "
"[BETA] SPD Autenticacao","[A.0.0.0] Verifica tipo de autenticação","Process ""requestBodyMFA""","[""idSessao"",""random.guid"",""contact.extras.cpf"",""contaSelecionada"",""returnStateAuth"",""contact.identity""]","requestBodyMFA","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.0.0.0] Verifica tipo de autenticação","Process ""apiStatus""","[""statusMFA""]","apiStatus","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.0.0.0] Verifica tipo de autenticação","Process ""tipoDesafio""","[""bodyMFA""]","tipoDesafio","context equals variable: bodyMFA@data.acao value: ELEVAR,NEGAR"
"[BETA] SPD Autenticacao","[A.1.0.0] Autenticação via KBA","Process ""desafios""","[""bodyMFA""]","desafios","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.1.0.0] Autenticação via KBA","Process ""pergunta""","[""desafios""]","pergunta","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.1.1.0] Confirma resposta do usuario","Process ""userInput""","[""input.content"",""desafios""]","userInput","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.1.1.0] Confirma resposta do usuario","Process ""desafios""","[""desafios""]","desafios","input exists  and context notEquals variable: userInput value: input inesperado"
"[BETA] SPD Autenticacao","[A.1.1.0] Confirma resposta do usuario","Process ""pergunta""","[""desafios""]","pergunta","context notEquals variable: userInput value: input inesperadoand input exists  "
"[BETA] SPD Autenticacao","[A.1.1.0] Confirma resposta do usuario","Process ""respostas""","[""userInput"",""respostas""]","respostas","context notEquals variable: userInput value: input inesperado"
"[BETA] SPD Autenticacao","[A.1.2.0] Valida respostas do KBA","Process ""requestBodyValidacaoKBA""","[""idSessao"",""contact.extras.cpf"",""contaSelecionada"",""respostas"",""desafios"",""returnStateAuth"",""contact.identity"",""bodyMFA""]","requestBodyValidacaoKBA","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.1.2.0] Valida respostas do KBA","Process ""dynamicContent""","[""bodyKbaValidar"",""bloquearKBA""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.4.0.0] Valida resposta do usuario","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.4.1.0] Tentar novamente","Process ""desafios""","[""bodyKbaValidar""]","desafios","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.4.1.0] Tentar novamente","Process ""pergunta""","[""desafios""]","pergunta","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.3.0.0] Autenticação via BigId","Process ""pesquisaBigID""","[""bodyQuestion""]","pesquisaBigID","context equals variable: statusQuestion value: 200"
"[BETA] SPD Autenticacao","[A.3.1.0] Inicio perguntas BigID","Process ""perguntasBigID""","[""pesquisaBigID""]","perguntaBigID","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.3.3.0] Valida respostas BigID","Process ""validationBody""","[""bodyQuestion"",""bigIdResponses""]","validationBody","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.3.3.0] Valida respostas BigID","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.3.2.0][INPUT] Valida resposta big id","Process ""userInput""","[""input.content"",""pesquisaBigID""]","userInput","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.3.2.0][INPUT] Valida resposta big id","Process ""bigIdResponses""","[""bigIdResponses"",""userInput""]","bigIdResponses","context notEquals variable: userInput value: input inesperado"
"[BETA] SPD Autenticacao","[A.3.2.0][INPUT] Valida resposta big id","Process ""pesquisaBigID""","[""pesquisaBigID""]","pesquisaBigID","context notEquals variable: userInput value: input inesperado"
"[BETA] SPD Autenticacao","[A.3.2.0][INPUT] Valida resposta big id","Process ""perguntaBigID""","[""pesquisaBigID""]","perguntaBigID","Sem condicionais para execução"
"[BETA] SPD Autenticacao","Redirecionar Main (Menu inicial)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Autenticacao","Redireciona serviço de Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Autenticacao","[A.0.0.2] Usuario bloqueado","Process ""dynamicContent""","[""bodyKbaValidar"",""bloquearKBA""]","dynamicContent","Sem condicionais para execução"
