"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Cascata","Início da Skill de Cascata de Validações","Process ""errorCounter""","[""errorCounter"",""state""]","errorCounter","Sem condicionais para execução"
"[BETA] SPD Cascata","Início da Skill de Cascata de Validações","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.0.1 | Contém emoji?","Define hasEmoji","[""input.content""]","hasEmoji","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.0.2 | É só emoji?","Remove emoji from user input | emojiCleanedInput","[""input.content""]","emojiCleanedInput","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.0.2 | É só emoji?","Define if is only emoji | isEmojiOnly","[""emojiCleanedInput""]","isEmojiOnly","Sem condicionais para execução"
"[BETA] SPD Cascata","V.3.0.0 | Início","Process ""state""","[""state"",""state.id"",""config.env"",""contaSelecionada"",""input.content"",""userInput"",""config.serviceName""]","state","Sem condicionais para execução"
"[BETA] SPD Cascata","V.2.0.0 | Sair","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","Set input type | inputType","[""input.content""]","inputType","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","Set is input not text | isInputNotText","[""inputType""]","isInputNotText","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","Process ""exceptionTypeMedia""","[""inputType""]","exceptionTypeMedia","context equals variable: isInputNotText value: Sim"
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","Executar script","[""input.content"",""input.type""]","teste123","Sem condicionais para execução"
"[BETA] SPD Cascata","V.5.0.0 | Voltar","Process ""lastVoltarState""","[""voltarState"",""state""]","lastVoltarState","Sem condicionais para execução"
"[BETA] SPD Cascata","V.5.0.0 | Voltar","Process ""voltarState""","[""voltarState"",""state""]","voltarState","Sem condicionais para execução"
"[BETA] SPD Cascata","V.5.0.0 | Voltar","Process ""state""","[""voltarState"",""state"",""state.id"",""input.content"",""userInput"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.1.1 | Pode ir para menu?","Process ""podeSeguirIntencao""","[""input.intent.name"",""contaSelecionada"",""selectedEc""]","podeSeguirIntencao","Sem condicionais para execução"
"[BETA] SPD Cascata","Redirecionar a servico Intenção identificada","Process ""state""","[""podeSeguirIntencao"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""state.previous.id""]","state","Sem condicionais para execução"
"[BETA] SPD Cascata","Redirecionamento exceptions","PROCESS ""exceptionEnv""","[""config.env""]","exceptionEnv","Sem condicionais para execução"
"[BETA] SPD Cascata","Gera novo token","Process ""encodingUrl""","[""config.clientId"",""config.grantType"",""config.clientSecret""]","encodingUrl","Sem condicionais para execução"
"[BETA] SPD Cascata","Gera novo token","Process ""state""","[""state"",""state.id"",""config.env"",""input.content"",""userInput""]","state","Sem condicionais para execução"
"[BETA] SPD Cascata","Redirect to ""Autenticacao""","Process ""state""","[""config.env"",""podeSeguirIntencao"",""input.intent.name"",""state.previous.name""]","state","Sem condicionais para execução"
