"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Exception","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] SPD Exception","[EX.0.0.0] Identifica exception","Process ""exceptionBlockId"" when ""exceptionTypeMedia""","[""exceptionTypeMedia""]","exceptionBlockId","context notEquals variable: exceptionTypeMedia value: false"
"[BETA] SPD Exception","[EX.0.0.0] Identifica exception","Process ""exceptionBlockId""","[""errorCounter"",""exceptionType"",""state""]","exceptionBlockId","context equals variable: exceptionTypeMedia value: false"
"[BETA] SPD Exception","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Exception","[EX.3.0.0] Cutuca","Process ""msgCutuca""","[""contaSelecionada""]","msgCutuca","Sem condicionais para execução"
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [INPUT])","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""state""]","state","Sem condicionais para execução"
"[BETA] SPD Exception","[Redirect] To  Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Exception","[EX.6.0.0] Validação erro API","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[BETA] SPD Exception","[Redirect] To Main (Menu inicial)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [MSG])","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""state"",""voltarState""]","state","Sem condicionais para execução"
"[BETA] SPD Exception","[EX.6.0.1] Erro de API Menu","Process ""dynamicContent""","[""contaSelecionada""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Exception","[M.2.0.1] [INPUT] Erro persistente","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Exception","Redireciona serviço anterior erro tipo","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""state"",""voltarState""]","state","Sem condicionais para execução"
"[BETA] SPD Exception","[EX.X.X.X] [INPUT] Erro persistente","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Exception","[Redirect] To  WhatsApp Pj (Atendente)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Exception","[MS.7.2.1] Data incorreta","Process ""msgDataIncorreta""","[""userInput"",""contaSelecionada""]","msgDataIncorreta","Sem condicionais para execução"
