"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Maquina Safrapay","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","Exceções","Process ""userInput"" if input.content not exist","[""input.content""]","userInput","context notExists variable: input.content "
"[BETA] SPD Maquina Safrapay","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.0.1] [INPUT] Simulador de Vendas - Máquina","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.0.1] [INPUT] Simulador de Vendas - Máquina","Process ""salesOrder""","[""userInput""]","salesOrder","context notEquals variable: userInput value: input inesperado"
"[BETA] SPD Maquina Safrapay","[MS.2.1.0] [MSG] Tipo de venda","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.0] [INPUT] Tipo de venda","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.0] [INPUT] Tipo de venda","Proces ""salesType""","[""userInput""]","salesType","context notEquals variable: userInput value: Input inesperado"
"[BETA] SPD Maquina Safrapay","[MS.2.1.1] [INPUT] Valor simulacao","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.1] [INPUT] Valor simulacao","Process ""salesValue""","[""input.content""]","salesValue","context equals variable: userInput value: É um valor válido"
"[BETA] SPD Maquina Safrapay","[MS.2.1.2] [MSG] Tipo pagamento","Process ""dynamicContent""","[""salesType""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.1] [MSG] Valor simulacao","Process ""userInput""","[""input.content""]","valorValido","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.1] [MSG] Valor simulacao","valorValido2","[""valor""]","valorValido","context equals variable: valorValido value: É um valor válido"
"[BETA] SPD Maquina Safrapay","[MS.2.1.2] [INPUT] Tipo pagamento","Process ""userInput""","[""input.content"",""salesType""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.2] [INPUT] Tipo pagamento","Process ""salesPaymentType""","[""userInput""]","salesPaymentType","context notEquals variable: userInput value: input inesperado"
"[BETA] SPD Maquina Safrapay","[MS.2.1.3] [HTTP] API Simular Vendas","Process ""apiStatus""","[""statusSimulacao""]","apiStatus","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.4] [MSG] Selecao Bandeira","Process ""dynamicContent""","[""salesPaymentType""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.4] [INPUT] Selecao Bandeira","Process ""userInput""","[""input.content"",""salesPaymentType""]","userInput","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Process ""salesPaymentTypeStringfy""","[""salesPaymentType""]","salesPaymentTypeStringfy","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Process ""salesValueStringfy""","[""salesValue""]","salesValueStringfy","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Process ""salesSimulation""","[""salesCardFlag"",""bodySimulacao"",""salesOrder""]","salesSimulation","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Process ""salesSufixStringfy""","[""salesOrder"",""salesSimulation"",""salesValueStringfy""]","salesSufixStringfy","Sem condicionais para execução"
