"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Ordem de Servico","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.0.0] Consultar Ordens de Serviço","Process ""ordensDeServico""","[""bodyOrdensDeServicos""]","ordensDeServico","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.0.0] Consultar Ordens de Serviço","Process ""ordemSelecionada""","[""ordensDeServico""]","ordemSelecionada","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.1.1] Exibir ordem de serviço","Process ""msgOrdemDeServico""","[""ordemSelecionada""]","msgOrdemDeServico","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.2.0] Possui o número da ordem?","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.2.1] Não possui o numero da OS","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.1.0] Exibe ordens de serivço","Process ""dynamicContent""","[""ordensDeServico"",""contaSelecionada""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.1.0] Seleciona ordem de serviço","Process ""userInput""","[""input.content"",""ordensDeServico""]","userInput","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.2.0] Valida se possui o numero da ordem","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.3.0] Valida numero digitado","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.2.1] Valida se quer tentar novamente","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.4.0] Consulta OS pelo número","Process ""ordensDeServico""","[""bodyOrdensDeServicos""]","ordensDeServico","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.4.0] Consulta OS pelo número","Process ""ordemSelecionada""","[""ordensDeServico""]","ordemSelecionada","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.4.1] OS Não encontrada","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.4.1] Valida input OS Não encontrada","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[Redirect] Finalização","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
