"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] Finalizacao","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[DEV] Finalizacao","Exceções","Process ""userInput"" if input.content not exist","[""input.content""]","userInput","context notExists variable: input.content "
"[DEV] Finalizacao","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.0][INPUT] Pesquisa CES validação","userInput","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.5][MSG] Muito difícil","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] Finalizacao","[F.1.0.0][MSG] Tipo de finalização","Process ""tipoFinalizacao""","[""pesquisa""]","tipoFinalizacao","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.4][MSG] Difícil","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.0][MSG] Pesquisa Resolutividade","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.0][INPUT] Pesquisa Resolutividade","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] Finalizacao","[F.0.0.0][MSG] Confirma finalização","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] Finalizacao","[F.0.0.0][INPUT] Confirma finalização","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.2][MSG] Resolutividade - Não","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.2][INPUT] Resolutividade - Não validação","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] Finalizacao","[Redirect] to Main (Menu inicial)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Finalizacao","[Redirect] to Main (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.5][INPUT] Muito difícil validação","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.0][MSG] Pesquisa CES","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.4][INPUT] Difícil validação","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
