"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] SPD Intencoes","Intenções","intentAccuracy","[""input.intent.score""]","intentAccuracy","Sem condicionais para execução"
"[DEV] SPD Intencoes","BOT - Taxas e condições","Process ""botDestinationLegacy""","[""config.env""]","botDestinationLegacy","Sem condicionais para execução"
"[DEV] SPD Intencoes","Não entendimento","Executar script","[""naoentendimento""]","naoentendimento","Sem condicionais para execução"
"[DEV] SPD Intencoes","Pesquisa CES","userInput","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] SPD Intencoes","Redirect to Maquina Safra (Simulador de Vendas)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Intencoes","Avaliar menu","PROCESS ""STATE""","[""config.env"",""state.id""]","state","Sem condicionais para execução"
"[DEV] SPD Intencoes","redireciona main","Process ""botDestinationLegacy""","[""config.env""]","botDestinationLegacy","Sem condicionais para execução"
"[DEV] SPD Intencoes","Autenticação","Process ""requestBody""","[""transacao"",""codigoCliente"",""agencia"",""conta"",""phone"",""cpf"",""nomeCompleto"",""shortnamefull"",""shortname"",""codigoSegmento"",""idSessao"",""random.guid""]","requestBody","Sem condicionais para execução"
"[DEV] SPD Intencoes","Autenticação","encodingUrl","[""config.clientId"",""config.grantType"",""config.clientSecret""]","encodingUrl","Sem condicionais para execução"
"[DEV] SPD Intencoes","Autenticação","autenticacao","[""horarioAutenticado""]","autenticacao","Sem condicionais para execução"
"[DEV] SPD Intencoes","Autenticação","statusMFA","[""bodyVerificaMFA""]","statusMFA","Sem condicionais para execução"
"[DEV] SPD Intencoes","Autenticação","id_","[""bodyVerificaMFA""]","id","input equals  value: 78888"
"[DEV] SPD Intencoes","KBA","bodyQuestion","[""bodyVerificaMFA""]","bodyQuestion","Sem condicionais para execução"
"[DEV] SPD Intencoes","KBA","pesquisa","[""bodyQuestion""]","pesquisas","Sem condicionais para execução"
"[DEV] SPD Intencoes","Pergunta","retornoPerguntas","[""pesquisas"",""contador""]","retornoPerguntas","Sem condicionais para execução"
"[DEV] SPD Intencoes","Aguarda resposta","push resposta","[""respostas"",""index"",""pesquisas"",""contador""]","respostas","Sem condicionais para execução"
"[DEV] SPD Intencoes","Aguarda resposta","contador","[""contador""]","contador","Sem condicionais para execução"
"[DEV] SPD Intencoes","Aguarda resposta","Verifica size","[]","encerrado","Sem condicionais para execução"
"[DEV] SPD Intencoes","Resposta KBA","id","[""bodyVerificaMFA""]","id","Sem condicionais para execução"
"[DEV] SPD Intencoes","Resposta KBA","acao","[""bodyKbaValidar""]","acao","Sem condicionais para execução"
"[DEV] SPD Intencoes","Resposta KBA","count","[""count""]","count","Sem condicionais para execução"
"[DEV] SPD Intencoes","Tracking Finalização","Process ""botDestinationLegacy""","[""config.env""]","botDestinationLegacy","Sem condicionais para execução"
"[DEV] SPD Intencoes","Redirect to Bot Intenções (Assunto)","Process ""botDestinationLegacy""","[""config.env""]","botDestinationLegacy","Sem condicionais para execução"
"[DEV] SPD Intencoes","Redirect to Taxas e Condições (Domicilio bancario)","Process ""botDestinationLegacy""","[""env""]","botDestinationLegacy","Sem condicionais para execução"
"[DEV] SPD Intencoes","R - WhatsApp PJ","Process ""botRedirectMessage""","[""input.content""]","botRedirectMessage","Sem condicionais para execução"
"[DEV] SPD Intencoes","R-Pacotes","Process ""botDestinationLegacy""","[""config.env""]","botDestinationLegacy","Sem condicionais para execução"
"[DEV] SPD Intencoes","Redirect to Maquina Safra (Consultar Protocolo)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Intencoes","Redirect to Maquina Safra (Venda não recebida)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Intencoes","Valida respostas BigID","Process ""validationBody""","[""bodyQuestion"",""bigIdResponses""]","validationBody","Sem condicionais para execução"
"[DEV] SPD Intencoes","Pergunta BigID","Process ""perguntasBigID""","[""pesquisaBigID""]","perguntaBigID","Sem condicionais para execução"
"[DEV] SPD Intencoes","Pergunta BigID","Process ""userInput""","[""input.content"",""pesquisaBigID""]","userInput","Sem condicionais para execução"
"[DEV] SPD Intencoes","Pergunta BigID","Process ""bigIdResponses""","[""bigIdResponses"",""userInput""]","bigIdResponses","context notEquals variable: userInput value: input inesperado"
"[DEV] SPD Intencoes","Pergunta BigID","Process ""pesquisaBigID""","[""pesquisaBigID""]","pesquisaBigID","context notEquals variable: userInput value: input inesperado"
"[DEV] SPD Intencoes","Autenticação BigID","Process ""pesquisaBigID""","[""bodyQuestion""]","pesquisaBigID","context equals variable: statusQuestion value: 200"
"[DEV] SPD Intencoes","Redirect to Navegacao App (Menu Inicial)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Intencoes","PASSAR CONTEXTO","REQDOMBANC","[]","REQDOMBANC","Sem condicionais para execução"
