"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] Seguros","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[DEV] Seguros","Exceções","Process ""userInput"" if input.content not exist","[""input.content""]","userInput","context notExists variable: input.content "
"[DEV] Seguros","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Seguros","[S.1.0.0][MSG] Menu Seguros","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[DEV] Seguros","[S.1.0.0][INPUT] Menu Seguros","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] Seguros","[S.3.0.0][MSG] Pagamento em atraso","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] Seguros","[S.3.0.0][INPUT] Pagamento em atraso","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
"[DEV] Seguros","[Redirect] to Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Seguros","[S.6.0.0][MSG] Sinistro","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[DEV] Seguros","[S.6.0.0][INPUT] Sinistro","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
