"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] Conta Corrente","[CC.2.0.0][MSG] Menu Cartão","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.2.0.0][INPUT] Menu Cartão","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] Conta Corrente","[CC.2.0.0][INPUT] Menu Cartão","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] Conta Corrente","[CC.5.0.0] Gravame","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.6.0.0] Renegociação","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.1][MSG] Não carterizado","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.2][INPUT] Não carterizado","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] Conta Corrente","[CC.0.1.2][INPUT] Não carterizado","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] Conta Corrente","[CC.3.0.0] Investimentos","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.3][MSG] Carterizado","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.4][INPUT] Carterizado","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] Conta Corrente","[CC.0.1.4][INPUT] Carterizado","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] Conta Corrente","[CC.0.1.6][MSG] Como podemos ajudar? (emp1)","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.0.1.7][INPUT] Como podemos ajudar? (emp1)","Track ""{state.name} validação""","{{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] Conta Corrente","[CC.0.1.7][INPUT] Como podemos ajudar? (emp1)","Track ""{state.name} input inesperado""","{{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] Conta Corrente","[CC.1.0.0] Cheque Empresas","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.2.1.0] Solicitar Cartão","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.2.2.0] Desbloquear Cartão","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.2.3.0] Esqueci minha senha","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.2.4.0] Perda / Roubo","Track ""{state.name} exibicao""","{{state.name}} exibicao","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[TC.8.0.0][HTTP] API Pacotes","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[TC.8.0.0][HTTP] API Pacotes","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
"[BETA] Conta Corrente","[TC.8.0.0][HTTP] API Pacotes","Tracking ""{state.name} api resumo""","{{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/safra-pay/v1/pacotes?agencia={{contaSelecionada@agencia}}&conta={{contaSelecionada@conta}} | GET| {{statusPacote}} | {{bodyPacote}}","Sem condicionais para execução"
"[BETA] Conta Corrente","[TC.8.0.0][HTTP] API Pacotes","Track ""{state.name} api status""","{{state.name}} api status","statusPacote","context exists variable: statusPacote "
"[BETA] Conta Corrente","[TC.8.1.0][MSG] Não possui pacotes","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[TC.8.2.0][MSG] Possui pacotes","Track ""SPD Taxas e Condicoes {state.name} exibição""","SPD Taxas e Condicoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] Conta Corrente","[CC.3.0.0][SET] Consultar Pacotes Contratados","Track ""assuntos""","assuntos","{{assunto}}","context exists variable: assunto "
