"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] DIGEMP-NPS","[7] Agradecimento","lastState","lastState","{{state.name}}","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","Pesquisa csat exibicao","Pesquisa csat exibicao","Exibicao","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","Track ""Csat solicitacao concluida origem""","Csat solicitacao concluida origem","{{config.botIdentity}} | {{state.previous.name}}","context notEquals variable: state.previous.id value: cb9d5f31-f9b0-4563-b9f2-958e757216f9"
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","Track ""Csat solicitacao concluida exibicao""","Csat solicitacao concluida exibicao","{{trackingCsat@csatExibicao}}","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","track ""Csat solicitacao concluida selecao""","Csat solicitacao concluida selecao","{{trackingCsat@csatExibicao}} | {{menu@input}}","context notEquals variable: menu@input value: input inesperadoand input exists  "
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","Track ""Csat solicitacao concluida selecao consolidado bot""","Csat solicitacao concluida selecao consolidado bot","{{menu@input}}","context equals variable: csatBotHuman value: botand context notEquals variable: menu@input value: input inesperadoand input exists  "
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","Track ""Csat solicitacao concluida selecao consolidado human""","Csat solicitacao concluida selecao consolidado human","{{menu@input}}","context equals variable: csatBotHuman value: humanand context notEquals variable: menu@input value: input inesperadoand input exists  "
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","Track ""Csat solicitacao concluida inesperado""","Csat solicitacao concluida inesperado","{{trackingCsat@csatExibInesperado}} | {{input.content}}","context equals variable: menu@input value: input inesperado"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Track ""Csat padrao origem""","Csat padrao origem","{{config.botIdentity}} | {{state.previous.name}}","context notEquals variable: state.previous.id value: cb9d5f31-f9b0-4563-b9f2-958e757216f9"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Track ""Csat padrao exibicao""","Csat padrao exibicao","{{trackingCsat@csatExibicao}} | {{solicitacaoConcluida}}","context notEquals variable: menu@input value: input inesperado"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","ST survey question","ST survey question","{{botOrHuman}} | Count","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Track ""Csat padrao selecao""","Csat padrao selecao","{{trackingCsat@csatExibicao}} | {{solicitacaoConcluida}} | {{trackingCsatNotaClass}}","context exists variable: menu@input "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Track ""Csat padrao selecao consolidado bot""","Csat padrao selecao consolidado bot","{{menu@input}}","context equals variable: csatBotHuman value: botand context notEquals variable: menu@input value: input inesperadoand input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Track ""Csat padrao selecao consolidado human""","Csat padrao selecao consolidado human","{{menu@input}}","context equals variable: csatBotHuman value: humanand context notEquals variable: menu@input value: input inesperadoand input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Track ""Csat padrao inesperado""","Csat padrao inesperado","{{trackingCsat@csatExibInesperado}} | {{input.content}}","context equals variable: menu@input value: input inesperado"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","ST survey answer","ST survey answer","{{botOrHuman}} | {{returnST}}","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","Track ""Csat padrao selecao"" - Chat_Caça_POS_Empresas","Csat padrao selecao Chat_Caça_POS_Empresas","{{trackingCsat@csatExibicao}} | {{solicitacaoConcluida}} | {{trackingCsatNotaClass}}","context exists variable: menu@input and context equals variable: retornoTicket@team value: Chat_Caça_POS_Empresas"
"[BETA] DIGEMP-NPS","Erro Padrão","Track ""Erro padrao origem""","Erro padrao origem","{{botId}} | {{previousBlockName}}","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","Erro Padrão","Track ""Erro padrao exibicao""","Erro padrao exibicao","Exibicao","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","Track ""Csat motivo padrao exibicao""","Csat motivo padrao exibicao","{{trackingCsat@csatExibInesperado}} | {{solicitacaoConcluida}} | {{trackingCsatNotaClass}}","context notEquals variable: menu@input value: input inesperado"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","Track ""Csat motivo padrao selecao""","Csat motivo padrao selecao","{{trackingCsat@csatExibicao}} | {{solicitacaoConcluida}} | {{trackingCsatNotaClass}} | {{trackingCsatMotivo}}","context exists variable: menu@input and input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","Track ""Csat motivo padrao selecao consolidado bot""","Csat motivo padrao selecao consolidado bot","{{menu@input}}","context equals variable: csatBotHuman value: botand context notEquals variable: menu@input value: input inesperadoand input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","Track ""Csat motivo padrao selecao consolidado human""","Csat motivo padrao selecao consolidado human","{{menu@input}}","context equals variable: csatBotHuman value: humanand context notEquals variable: menu@input value: input inesperadoand input exists  "
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","Track ""Csat motivo padrao inesperado""","Csat motivo padrao inesperado","{{trackingCsat@csatExibInesperado}} | {{trackingCsatNotaClass}} | {{input.content}}","context equals variable: menu@input value: input inesperado"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","ST survey reason","ST survey reason","{{botOrHuman}} | {{score}} | {{returnST}} | {{menu@input}}","context notEquals variable: menu@input value: input inesperado"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","Track ""Csat motivo padrao selecao"" - Chat_Caça_POS_Empresas","Csat motivo padrao selecao Chat_Caça_POS_Empresas","{{trackingCsat@csatExibicao}} | {{solicitacaoConcluida}} | {{trackingCsatNotaClass}} | {{trackingCsatMotivo}}","context exists variable: menu@input and input exists  and context equals variable: retornoTicket@team value: Chat_Caça_POS_Empresas"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Outros motivos","Track ""Csat motivo outros exibicao""","Csat motivo outros exibicao","{{trackingCsat@csatExibInesperado}}|{{solicitacaoConcluida}}|{{trackingCsatNotaClass}}","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Outros motivos","Track ""Csat motivo outros input""","Csat motivo outros input","{{trackingCsat@csatExibicao}} | {{solicitacaoConcluida}} | {{trackingCsatNotaClass}} | {{trackingCsatMotivo}} | {{motivo}}","input exists  "
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","Pesquisa satisfacao finalizacao exibicao","Pesquisa satisfacao finalizacao exibicao","Exibicao","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","Track ""Finalizacao resumo""","Finalizacao resumo","{{trackingCsat@csatExibicao}} | {{solicitacaoConcluida}} | {{trackingCsatNotaClass}} | {{trackingCsatMotivo}}","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","CSAT EMP 1","Resumo do Csat EMP1","{{dataHora}} | {{agentIdentity}} | {{solicitacaoConcluida}} | {{trackingCsatNotaClass}} | {{sugestaoCliente}}","context equals variable: filial value: emp1"
"[BETA] DIGEMP-NPS","Inatividade","Track ""Inatividade origem""","Inatividade origem","{{botId}}|{{previousBlockName}}","Sem condicionais para execução"
"[BETA] DIGEMP-NPS","Inatividade","Track ""Inatividade exibicao""","Inatividade exibicao","Exibicao","Sem condicionais para execução"
