"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Cascata","Início da Skill de Cascata de Validações","Track ""SPD Cascata origem""","SPD Cascata origem","{{state@botOrigin}}|{{state@stateNameOrigin}}","context exists variable: state@botOrigin "
"[BETA] SPD Cascata","Exceções da Skill de Cascata de Validações","Cascata regex global validacao","Cascata regex global validacao","Nao","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.0.1 | Contém emoji?","Contem emoji validacao | {hasEmoji}","Contem emoji validacao","{{hasEmoji}}","context exists variable: hasEmoji "
"[BETA] SPD Cascata","V.1.0.2 | É só emoji?","Apenas emoji validacao | {isEmojiOnly}","Apenas emoji validacao","{{isEmojiOnly}}","context exists variable: isEmojiOnly "
"[BETA] SPD Cascata","V.1.0.3 | É palavra-chave?","Palavra chave validacao | Sim IF keyword DIFFERENT Input inesperado","Palavra chave validacao","Sim","context notEquals variable: keyword value: Input inesperado"
"[BETA] SPD Cascata","V.1.0.3 | É palavra-chave?","Palavra chave validacao | Nao IF keyword EQUALS Input inesperado","Palavra chave validacao","Nao","context equals variable: keyword value: Input inesperado"
"[BETA] SPD Cascata","V.1.0.3 | É palavra-chave?","Palavra chave input | {input.content}","Palavra chave input","{{input.content}}","context exists variable: input.content "
"[BETA] SPD Cascata","V.1.0.3 | É palavra-chave?","Palavra chave origem | {lastBot} | {origin}","Palavra chave origem","{{lastBot}} | {{origin}}","Sem condicionais para execução"
"[BETA] SPD Cascata","V.3.0.0 | Início","Track ""SPD Cascata inicio""","SPD Cascata inicio","Execução","Sem condicionais para execução"
"[BETA] SPD Cascata","V.2.0.0 | Sair","Track ""SPD Cascata sair""","SPD Cascata sair","Execução","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","Contem midia validacao | {isInputNotText}","Contem midia validacao","{{isInputNotText}}","context exists variable: isInputNotText "
"[BETA] SPD Cascata","V.5.0.0 | Voltar","Track ""SPD Cascata voltar""","SPD Cascata voltar","Execução","Sem condicionais para execução"
"[BETA] SPD Cascata","V.1.1.1 | Pode ir para menu?","Track ""SPD Cascata pode seguir para intencao""","SPD Cascata pode seguir para intencao","{{podeSeguirIntencao@allowed}} | {{input.intent.name}} | {{state@botOrigin}} | {{state@stateNameOrigin}} |  {{podeSeguirIntencao@destinationBot}} | {{podeSeguirIntencao@destinationBlock}} | {{podeSeguirIntencao@error}}","Sem condicionais para execução"
"[BETA] SPD Cascata","Redirecionar a servico Intenção identificada","Track ""SPD Cascata redirecionamento itencao identificada""","SPD Cascata redirecionamento intencao identificada","Execução","Sem condicionais para execução"
"[BETA] SPD Cascata","Redirecionamento palavra chave","Tack ""SPD Cascata redirecionamento palavra chave""","SPD Cascata redirecionamento palavra chave","Execução","Sem condicionais para execução"
"[BETA] SPD Cascata","Redirecionamento exceptions","Track ""SPD Cascata redirecionamento exceptions""","SPD Cascata redirecionamento exceptions","Execução","Sem condicionais para execução"
"[BETA] SPD Cascata","Gera novo token","Track ""SPD Cascata erro de api""","SPD Cascata erro de api","Token","Sem condicionais para execução"
"[BETA] SPD Cascata","Erro de api","Track ""SPD Cascata erro de api""","SPD Cascata erro de api","Erro","Sem condicionais para execução"
