"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","Track ""SPD Main id sessao""","SPD Main id sessao","{{calendar.datetime}} | {{contact.identity}} | {{idSessao}}","Sem condicionais para execução"
"[BETA] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","Track ""SPD Main input inicial""","SPD Main boas vindas input inicial","{{input.content}}","context exists variable: input.content "
"[BETA] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","Track ""SPD Main {state.name} api resumo""","SPD Main {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlToken}}/api/oauth/token | {{encodingUrl}} | {{statusToken}} | {{bodyToken}}","Sem condicionais para execução"
"[BETA] SPD Main","[M.2.0.0][MSG] Solicita CPF","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Tracking ""SPD Main {state.name} quantidade de contas""","SPD Main {{state.name}} quantidade de contas","{{contas@quantidadeContas}}","context exists variable: contas@quantidadeContas "
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Track ""SPD Main script error""","SPD Main script error","{{exibeSelecionarContas@tracking}}","context equals variable: exibeSelecionarContas@error value: trueand context exists variable: exibeSelecionarContas@tracking "
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Track ""SPD Main {state.name} api status""","SPD Main {{state.name}} api status","{{apiStatus}}","context exists variable: apiStatus "
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Tracking ""api resumo""","SPD Main {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/chat-assistente/contas-pessoa-juridica/v1/shortnames-vinculados?cpf={{contact.extras.cpf}} | GET | {{statusContas}} | {{bodyContas}}","Sem condicionais para execução"
"[BETA] SPD Main","[M.3.1.0][MSG]Seleciona conta","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Main","[M.3.0.1][MSG] Transbordo cliente não identificado","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Track ""SPD Main {state.name} quantidade ec""","SPD Main {{state.name}} quantidade ec","{{ecList@ecQuantity}}","context exists variable: ecList@ecQuantity "
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Tracking ""api resumo""","SPD Main {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/vendas-servicos/clientes/dados-referencia-clientes/assistente-virtual/v1/shortnames/{{contaSelecionada@shortname}}/usuarios | GET | {{statusUsuarios}} | {{bodyUsuarios}}","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Track ""SPD Main {state.name} api status""","SPD Main {{state.name}} api status","{{apiStatus}}","context exists variable: apiStatus "
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Track ""SPD Main script error""","SPD Main script error","{{exibeSelecionarEc@tracking}}","context equals variable: exibeSelecionarEc@error value: trueand context exists variable: exibeSelecionarEc@tracking "
"[BETA] SPD Main","[M.4.1.0][MSG] Selecionar EC","Track ""SPD Main {state.name} exibição""","SPD Main {{state.name}} exibição","Exibição","Sem condicionais para execução"
