"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Maquina Safrapay","[MS.4.0.0][MSG] Não recebi minha venda","Track ""{state.name} exibição""","{{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.4.1.0][MSG] Solicita valor da venda","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.0.0] [SET] Simulador de Vendas Inicio","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.0.1] [INPUT] Simulador de Vendas - Máquina","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.2.0.1] [INPUT] Simulador de Vendas - Máquina","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.2.1.0] [MSG] Tipo de venda","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.0] [INPUT] Tipo de venda","Track ""SPD Maquina Safrapay {{state.name}} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.2.1.0] [INPUT] Tipo de venda","Track ""SPD Maquina Safrapay {{state.name}} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.2.1.1] [INPUT] Valor simulacao","Track ""SPD Maquina Safrapay {{state.name}} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Maquina Safrapay","[MS.2.1.1] [INPUT] Valor simulacao","Track ""SPD Maquina Safrapay {{state.name}} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Maquina Safrapay","[MS.2.1.2] [MSG] Tipo pagamento","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Maquina Safrapay","[MS.2.1.1] [MSG] Valor simulacao","Track ""SPD Maquina Safrapay {{state.name}} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
