"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[BETA] SPD Ordem de Servico","[OS.2.0.1] Sem ordens de serviço","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD ORdem de servico {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.0.0] Consultar Ordens de Serviço","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD ORdem de servico {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.1.1] Exibir ordem de serviço","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD ORdem de servico {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.3.0] Solicita numero da ordem de serviço","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD ORdem de servico {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.2.0] Possui o número da ordem?","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD ORdem de servico {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.2.1] Não possui o numero da OS","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD ORdem de servico {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.1.0] Exibe ordens de serivço","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD ORdem de servico {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.1.0] Seleciona ordem de serviço","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Ordem de servico {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Ordem de Servico","[OS.2.1.0] Seleciona ordem de serviço","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Ordem de servico {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Ordem de Servico","[OS.2.2.0] Valida se possui o numero da ordem","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Ordem de servico {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Ordem de Servico","[OS.2.2.0] Valida se possui o numero da ordem","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Ordem de servico {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Ordem de Servico","[OS.2.3.0] Valida numero digitado","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Ordem de servico {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Ordem de Servico","[OS.2.3.0] Valida numero digitado","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Ordem de servico {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Ordem de Servico","[OS.2.2.1] Valida se quer tentar novamente","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Ordem de servico {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Ordem de Servico","[OS.2.2.1] Valida se quer tentar novamente","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Ordem de servico {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[BETA] SPD Ordem de Servico","[OS.2.4.1] OS Não encontrada","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD ORdem de servico {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[BETA] SPD Ordem de Servico","[OS.2.4.1] Valida input OS Não encontrada","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Ordem de servico {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[BETA] SPD Ordem de Servico","[OS.2.4.1] Valida input OS Não encontrada","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Ordem de servico {{state.name}} validação","{{userInput}}","context exists variable: userInput "
