"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] Finalizacao","Início","Track ""SPD Finalizacao origem""","SPD Finalizacao origem","{{state@botOrigin}}","context exists variable: state@botOrigin "
"[DEV] Finalizacao","Início","Track ""SPD Finalizacao jornada""","SPD Finalizacao jornada","{{idSessao}} | {{voltarState}}","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.0][INPUT] Pesquisa CES validação","Track ""SPD Finalizacao ""{{state.name}}"" validação""","SPD Finalizacao {{state.name}} validação assunto","{{assunto}} | {{userInput}}","context exists variable: userInput "
"[DEV] Finalizacao","[F.3.2.0][INPUT] Pesquisa CES validação","Track ""SPD Finalizacao ""{{state.name}}"" input inesperado""","SPD Finalizacao {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] Finalizacao","[F.3.2.5][MSG] Muito difícil","PESQUISA CES MUITO DIFÍCIL ASSUNTO","PESQUISA CES MUITO DIFÍCIL ASSUNTO","{{assunto}}","context exists variable: assunto "
"[DEV] Finalizacao","[F.3.2.5][MSG] Muito difícil","PESQUISA CES MUITO DIFÍCIL","PESQUISA CES MUITO DIFÍCIL","1","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.5][MSG] Muito difícil","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.3][MSG] Neutro","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.1][MSG] Muito Fácil","Pesquisa CES Muito fácil","Pesquisa CES Muito fácil","1","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.1][MSG] Muito Fácil","Pesquisa CES Muito fácil assunto","Pesquisa CES Muito fácil assunto","{{assunto}}","context exists variable: assunto "
"[DEV] Finalizacao","[F.3.2.1][MSG] Muito Fácil","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.3][INPUT] Outros motivos","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.3][INPUT] Outros motivos","Track ""SPD Finalizacao ""{{state.name}}"" validação""","SPD Finalizacao {{state.name}} validação","{{input.content}}","input exists variable: userInput "
"[DEV] Finalizacao","[F.1.0.0][MSG] Tipo de finalização","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.4][MSG] Difícil","PESQUISA CES DIFÍCIL ASSUNTO","PESQUISA CES DIFÍCIL ASSUNTO","{{assunto}}","context exists variable: assunto "
"[DEV] Finalizacao","[F.3.2.4][MSG] Difícil","PESQUISA CES DIFÍCIL","PESQUISA CES DIFÍCIL","1","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.4][MSG] Difícil","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.2][MSG] Fácil","PESQUISA CES MUITO FÁCIL ASSUNTO","PESQUISA CES MUITO FÁCIL ASSUNTO","{{assunto}}","context exists variable: assunto "
"[DEV] Finalizacao","[F.3.2.2][MSG] Fácil","PESQUISA CES MUITO FÁCIL","PESQUISA CES MUITO FÁCIL","1","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.2][MSG] Fácil","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.2.2][MSG] Fácil","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.0][MSG] Pesquisa Resolutividade","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.0][INPUT] Pesquisa Resolutividade","Track ""SPD Finalizacao ""{{state.name}}"" validação""","SPD Finalizacao {{state.name}} validação assunto","{{assunto}} | {{userInput}}","context exists variable: userInput "
"[DEV] Finalizacao","[F.3.1.0][INPUT] Pesquisa Resolutividade","Track ""SPD Finalizacao ""{{state.name}}"" input inesperado""","SPD Finalizacao {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] Finalizacao","[F.3.1.1][MSG] Resolutividade - Sim","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Finalizacao","[F.3.1.1][MSG] Resolutividade - Sim","Resolutividade Sim Assunto","Resolutividade Sim Assunto","{{assunto}}","context exists variable: assunto "
"[DEV] Finalizacao","[F.3.1.1][MSG] Resolutividade - Sim","Track ""SPD Finalizacao ""{state.name}"" exibicao""","SPD Finalizacao {{state.name}} exibição","Exibição","Sem condicionais para execução"
