"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] SPD Intencoes","Intenções","Intenções","Intenções","{{input.intent.name}}","intent exists  "
"[DEV] SPD Intencoes","Intenções","intentAccuracy","Intent Accuracy","{{intentAccuracy}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Intenções","Resumo Intents low accuracy","Resumo Intents low accuracy","{{input.content}} | {{input.intent.name}} | {{input.intent.score}}","context equals variable: intentAccuracy value: abaixo"
"[DEV] SPD Intencoes","Intenções","Registro de eventos","scoreIntents","{{input.intent.score}}","intent exists  "
"[DEV] SPD Intencoes","BOT - Taxas e condições","autoserviço","autoservico","true","context notEquals variable: autoservico value: true"
"[DEV] SPD Intencoes","Fim do processo","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Sim,Não"
"[DEV] SPD Intencoes","Não entendimento","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","intent notExists  "
"[DEV] SPD Intencoes","Áudio","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Intencoes","Fim do processo - Sim","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","intent notExists  "
"[DEV] SPD Intencoes","Resolutividade","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Sim,Não"
"[DEV] SPD Intencoes","Resolutividade - Não","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Linguagem difícil,Pouca informação,Não gostei das soluções,Outro motivo"
"[DEV] SPD Intencoes","Resolutividade - Não","Resolutividade Não Assunto","Resolutividade Não Assunto","{{assunto}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Resolutividade - Sim","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Intencoes","Resolutividade - Sim","Resolutividade Sim Assunto","Resolutividade Sim Assunto","{{assunto}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","4- Outro motivo","Registro de eventos","SPD Intencoes {{state.name}} input","{{input.content}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","4- Outro motivo","Sugestão de melhoria resolutividade","Sugestão de melhoria resolutividade","{{assunto}}: {{input.content}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Pesquisa CES","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Muito Fácil,Fácil,Neutro,Difícil,Muito Difícil"
"[DEV] SPD Intencoes","Muito difícil","PESQUISA CES MUITO DIFÍCIL ASSUNTO","PESQUISA CES MUITO DIFÍCIL ASSUNTO","{{assunto}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Muito difícil","PESQUISA CES MUITO DIFÍCIL","PESQUISA CES MUITO DIFÍCIL","1","Sem condicionais para execução"
"[DEV] SPD Intencoes","Muito difícil","Registro de eventos","SPD Intencoes {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Linguagem difícil,Pouca informação,Não gostei das soluções,Outro motivo"
"[DEV] SPD Intencoes","Muito difícil","OPÇÃO SELECIONADA DÍFICIL","OPÇÃO SELECIONADA MUITO DÍFICIl","{{assunto}}: {{input.content}}","input equals  value: Linguagem difícil,Pouca informação,Não gostei das soluções"
"[DEV] SPD Intencoes","Neutro","Pesquisa CES Neutro Assunto","Pesquisa CES Neutro Assunto","{{assunto}}","Sem condicionais para execução"
"[DEV] SPD Intencoes","Neutro","Pesquisa CES Neutro","Pesquisa CES Neutro","1","Sem condicionais para execução"
"[DEV] SPD Intencoes","Neutro","Registro de eventos","SPD Intencoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
