"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] SPD Maquina Safrapay","[MS.4.0.0] [MSG] Não recebi minha venda","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.4.0.0] [MSG] Não recebi minha venda","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.4.0.0] [MSG] Não recebi minha venda","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.4.1.0] Solicita valor da venda","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.4.1.0] Solicita valor da venda","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.4.1.0] Solicita valor da venda","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.2.0.0] [MSG] Simulador de Vendas - Máquina","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.0.0] [INPUT] Simulador de Vendas - Máquina","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.2.0.0] [INPUT] Simulador de Vendas - Máquina","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.2.1.0] [MSG] Tipo de venda","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.0] [INPUT] Tipo de venda","Track ""SPD Maquina Safrapay {{state.name}} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.2.1.0] [INPUT] Tipo de venda","Track ""SPD Maquina Safrapay {{state.name}} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.2.1.1] [INPUT] Valor simulacao","Track ""SPD Maquina Safrapay {{state.name}} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.2.1.1] [INPUT] Valor simulacao","Track ""SPD Maquina Safrapay {{state.name}} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.2.1.2] [MSG] Tipo pagamento","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.1] [MSG] Valor simulacao","Track ""SPD Maquina Safrapay {{state.name}} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.1] [MSG] Valor simulacao","Registro de eventos","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: valorValido value: Não é um valor válidoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.2.1.2] [INPUT] Tipo pagamento","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{userInput}}","context exists variable: userInput "
"[DEV] SPD Maquina Safrapay","[MS.2.1.2] [INPUT] Tipo pagamento","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","context equals variable: userInput value: input inesperadoand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.2.1.3] [HTTP] API Simular Vendas","Tracking ""api resumo""","SPD Maquina Safrapay {{state.name}} api resumo","{{idSessao}} | {{contact.identity}} | {{calendar.datetime}} | {{config.urlCHT}}/safrapay/vendas-servicos/vendas/planejamentos-vendas/assistente-virtual/v1/estabelecimentos/{{ec}}/vendas/simular | POST | {{statusSimulacao}} | {{bodySimulacao}}","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.3] [HTTP] API Simular Vendas","Track ""SPD Maquina Safrapay {{state.name}} api status""","SPD Maquina Safrapay {{state.name}} api status","{{statusSimulacao}}","context exists variable: statusSimulacao "
"[DEV] SPD Maquina Safrapay","[MS.2.1.4] [MSG] Selecao Bandeira","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.4] [INPUT] Selecao Bandeira","Track ""SPD Maquina Safrapay {state.name} validação""","SPD Maquina Safrapay {{state.name}} validação","{{input.content}}","input equals  value: Master,Visa,Elo,Amex,Hiper"
"[DEV] SPD Maquina Safrapay","[MS.2.1.4] [INPUT] Selecao Bandeira","Track ""SPD Maquina Safrapay {state.name} input inesperado""","SPD Maquina Safrapay {{state.name}} input inesperado","{{input.content}}","input notEquals  value: Master,Visa,Elo,Amex,Hiperand context exists variable: input.content "
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Track ""SPD Maquina Safrapay {state.name} dados""","SPD Maquina Safrapay {{state.name}} dados","{{salesValueStringfy}} | {{salesSimulation@valorFinal}}| {{salesSimulation@valorTaxaTotal}} | {{salesPaymentTypeStringfy}} | {{salesCardFlag}}","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","Track ""assuntos"" to {salesOrder} - Simulador de Vendas","assuntos","{{salesOrder}} - Simulador de Vendas","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","Track ""SPD Maquina Safrapay {state.name} dados""","SPD Maquina Safrapay {{state.name}} dados","{{salesValueStringfy}} | {{salesPaymentTypeStringfy}} | {{salesCardFlag}}","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","Track ""assuntos"" to {salesOrder} - Simulador de Vendas","assuntos","Crédito Parcelado - {{salesOrder}}","Sem condicionais para execução"
"[DEV] SPD Maquina Safrapay","[MS.2.2.0] [MSG] Menu simulação opções","Track ""SPD Maquina Safrapay {state.name} exibição""","SPD Maquina Safrapay {{state.name}} exibição","Exibição","Sem condicionais para execução"
