"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] Broadcast","Início","userInput","{{input.content}}",""
"[BETA] Broadcast","Exceções","state","Execução de script",""
"[BETA] Broadcast","[BC.0.0.0] Identifica broadcast","blockDestinationId","Execução de script",""
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","telephone","Execução de script",""
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","encodingUrl","Execução de script",""
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","statusAccountManager",,""
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","statusAccountManager2",,""
"[BETA] Broadcast","[BC.4.0.0] Atendimento humano","statusAccountManager3",,""
"[BETA] Broadcast","[Redirect] to Main (zera variaveis)","state","Execução de script",""
"[BETA] Broadcast","[Redirect] to Atendimento Humano (Welcome)","state","Execução de script",""
"[BETA] Broadcast","[BC.4.1.0][INPUT] Solicita CNPJ","exceptionType","cnpj",""
"[BETA] Broadcast","[BC.4.3.0] Monta variavel contaSelecionada","contaSelecionada","Execução de script",""
"[BETA] Broadcast","[Redirect] to Finalizacao (finalizado)","state","Execução de script",""
"[BETA] Broadcast","[BC.0.0.0][HTTP] Reseta State ID","apiStatus","Execução de script",""
