"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] Conta Corrente","Exceções","userInput","Execução de script",""
"[BETA] Conta Corrente","Exceções","state","Execução de script",""
"[BETA] Conta Corrente","[CC.2.0.0][MSG] Menu Cartão","dynamicContent","Execução de script",""
"[BETA] Conta Corrente","[CC.2.0.0][MSG] Menu Cartão","assunto","cartao",""
"[BETA] Conta Corrente","[CC.2.0.0][INPUT] Menu Cartão","exceptionType","lista",""
"[BETA] Conta Corrente","[CC.0.1.1][MSG] Não carterizado","dynamicContent","Execução de script",""
"[BETA] Conta Corrente","[CC.0.1.2][INPUT] Não carterizado","exceptionType","lista",""
"[BETA] Conta Corrente","[CC.3.0.0] Investimentos","assunto","investimentos",""
"[BETA] Conta Corrente","[Redirect] To Main (Menu inicial)","state","Execução de script",""
"[BETA] Conta Corrente","[Redirect] To  Finalizacao (Finalizar)","state","Execução de script",""
"[BETA] Conta Corrente","[CC.0.1.3][MSG] Carterizado","dynamicContent","Execução de script",""
"[BETA] Conta Corrente","[CC.0.1.4][INPUT] Carterizado","exceptionType","quickReply",""
"[BETA] Conta Corrente","[Redirect] To  Finalizacao (Welcome)","state","Execução de script",""
"[BETA] Conta Corrente","[CC.0.1.6][MSG] Como podemos ajudar? (emp1)","dynamicContent","Execução de script",""
"[BETA] Conta Corrente","[CC.0.1.7][INPUT] Como podemos ajudar? (emp1)","exceptionType","lista",""
"[BETA] Conta Corrente","[Redirect] to Atendimento Humano (Welcome)","state","Execução de script",""
"[BETA] Conta Corrente","[CC.1.0.0] Cheque Empresas","assunto","cheque empresas",""
"[BETA] Conta Corrente","[Redirect] Menu anterior","state","Execução de script",""
"[BETA] Conta Corrente","[TC.8.0.0][HTTP] API Pacotes","apiStatus","Execução de script",""
"[BETA] Conta Corrente","[TC.8.0.0][HTTP] API Pacotes","exceptionType","erroApi",""
"[BETA] Conta Corrente","[TC.8.0.0][HTTP] API Pacotes","pesquisa","resolutividade",""
"[BETA] Conta Corrente","[TC.8.2.0][MSG] Possui pacotes","pacote","Execução de script",""
"[BETA] Conta Corrente","[Redirect] To ""Autenticacao""","state","Execução de script",""
"[BETA] Conta Corrente","[CC.3.0.0][SET] Consultar Pacotes Contratados","pesquisa","resolutividade",""
"[BETA] Conta Corrente","[CC.3.0.0][SET] Consultar Pacotes Contratados","assunto","pacotes contratados",""
