"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] DIGEMP-NPS","Exceções","previousBlockID","{{state.previous.id}}",""
"[BETA] DIGEMP-NPS","Exceções","previousBlockName","{{state.previous.name}}",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","openHourTicket","Execução de script",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","ticketTags","Execução de script",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","emailEncode","Execução de script",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","nomeAtendente","Execução de script",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","emailAtendente","Execução de script",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","sequentialId","{{ticketResponse@sequentialId}}",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","agentIdentity","{{ticketResponse@agentIdentity}}",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","cpf","{{contact.extras.cnpj}}",""
"[BETA] DIGEMP-NPS","[7] Agradecimento","menu","",""
"[BETA] DIGEMP-NPS","Update contact","resourceContact","Execução de script",""
"[BETA] DIGEMP-NPS","Update contact","extrasContact","Execução de script",""
"[BETA] DIGEMP-NPS","Update contact","sequentialId",,""
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","trackingCsat","Execução de script",""
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","csatBotHuman","{{trackingCsat@npsBotOrHuman}}",""
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","isPreviousBlock","d0ee8f37-bb1b-4ec1-805b-41b4ecb10287",""
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","solicitacaoConcluida","{{menu@input}}",""
"[BETA] DIGEMP-NPS","CSAT - Solicitação concluída?","inatividade","false",""
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","score","{{menu@input}}",""
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","isPreviousBlock","4ef2dc76-72f2-4288-af2a-12b876820867",""
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT","inatividade","false",""
"[BETA] DIGEMP-NPS","Erro Padrão","errorCount","0",""
"[BETA] DIGEMP-NPS","Erro Padrão","erroFrist","",""
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","sugestaoCliente","{{menu@input}}",""
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","isPreviousBlock","7961a583-8998-4fe7-991c-0be80606b3de",""
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Motivo","inatividade","false",""
"[BETA] DIGEMP-NPS","Pesquisa de Satisfação CSAT - Outros motivos","inatividade","false",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","dataHora","Execução de script",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","agentIdentity","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","menu","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","solicitacaoConcluida","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","score","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","trackingCsatNotaClass","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","sugestaoCliente","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","trackingCsatMotivo","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","motivo","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","retornoTicket","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","sequencialId","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","ticketId","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","responseTags","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","responseTeam","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","dataHoraAberturaTicket","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","dataHoraFechamentoTicket","",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","errorCount","0",""
"[BETA] DIGEMP-NPS","[I.1.1.0] Pesquisa finalizada","inatividade","",""
"[BETA] DIGEMP-NPS","Inatividade","inatividade","true",""
"[BETA] DIGEMP-NPS","Return Previous Block","previousBlock","{{state.previous.name}}",""
"[BETA] DIGEMP-NPS","Return Previous Block","idReturnBlock","{{state.id}}",""
"[BETA] DIGEMP-NPS","[Redirect] to Finalizacao (Welcome)","state","Execução de script",""
