"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] GerenteEmp1","Início","recordBroadcast","true",""
"[BETA] GerenteEmp1","Início","respostaTemplate","{{input.content}}",""
"[BETA] GerenteEmp1","Navegar NPS","dataHoraBR","Execução de script",""
"[BETA] GerenteEmp1","Navegar NPS","emailOperador","Execução de script",""
"[BETA] GerenteEmp1","Navegar NPS","ticketResponse","{{input.content}}",""
"[BETA] GerenteEmp1","Navegar NPS","sequencialId","{{input.content@sequentialId}}",""
"[BETA] GerenteEmp1","Navegar NPS","responseTags","{{input.content@tags}}",""
"[BETA] GerenteEmp1","Navegar NPS","responseTeam","{{input.content@team}}",""
"[BETA] GerenteEmp1","Navegar NPS","agentIdentity","{{input.content@agentIdentity}}",""
"[BETA] GerenteEmp1","Navegar NPS","recordBroadcast","false",""
"[BETA] GerenteEmp1","[Redirect] to NPS","state","Execução de script",""
"[BETA] GerenteEmp1","[Dados CSAT]","dataHoraBR","Execução de script",""
"[BETA] GerenteEmp1","[Dados CSAT]","dataHoraAberturaTicket","Execução de script",""
"[BETA] GerenteEmp1","[Dados CSAT]","agentIdentity","{{input.content@agentIdentity}}",""
"[BETA] GerenteEmp1","[Dados CSAT]","dataHoraFechamentoTicket","Execução de script",""
"[BETA] GerenteEmp1","[Dados CSAT]","retornoTicket","{{input.content}}",""
"[BETA] GerenteEmp1","[Dados CSAT]","sequencialId","{{input.content@sequentialId}}",""
"[BETA] GerenteEmp1","[Dados CSAT]","ticketId","{{input.content@id}}",""
"[BETA] GerenteEmp1","[Dados CSAT]","responseTags","{{input.content@tags}}",""
"[BETA] GerenteEmp1","[Dados CSAT]","responseTeam","{{input.content@team}}",""
"[BETA] GerenteEmp1","[Redirect] Finalização","state","Execução de script",""
