"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Autenticacao","Exceções","state","Execução de script",""
"[BETA] SPD Autenticacao","Exceções","userInput","Execução de script",""
"[BETA] SPD Autenticacao","[A.0.0.0] Verifica tipo de autenticação","requestBodyMFA","Execução de script",""
"[BETA] SPD Autenticacao","[A.0.0.0] Verifica tipo de autenticação","apiStatus","Execução de script",""
"[BETA] SPD Autenticacao","[A.0.0.0] Verifica tipo de autenticação","respostas","[]",""
"[BETA] SPD Autenticacao","[A.1.0.0] Autenticação via KBA","desafios","Execução de script",""
"[BETA] SPD Autenticacao","[A.1.0.0] Autenticação via KBA","pergunta","Execução de script",""
"[BETA] SPD Autenticacao","[A.1.0.0] Autenticação via KBA","respostas","[]",""
"[BETA] SPD Autenticacao","[Redirect] Usuario aprovado","state","{{returnStateAuth}}",""
"[BETA] SPD Autenticacao","[Redirect] Usuario aprovado","userInput","{{state@lastInput}}",""
"[BETA] SPD Autenticacao","[Redirect] Usuario aprovado","returnStateAuth","false",""
"[BETA] SPD Autenticacao","[Redirect] Usuario aprovado","authenticated","{{idSessao}}",""
"[BETA] SPD Autenticacao","[Redirect] Usuario aprovado","bloquearKBA","false",""
"[BETA] SPD Autenticacao","[Redirect] Usuario aprovado","autenticado","true",""
"[BETA] SPD Autenticacao","[A.1.1.0] Confirma resposta do usuario","exceptionType","kba",""
"[BETA] SPD Autenticacao","[A.1.2.0] Valida respostas do KBA","requestBodyValidacaoKBA","Execução de script",""
"[BETA] SPD Autenticacao","[A.1.2.0] Valida respostas do KBA","dynamicContent","Execução de script",""
"[BETA] SPD Autenticacao","[A.4.0.0] Usuario reprovado","autenticado","false",""
"[BETA] SPD Autenticacao","[A.4.0.0] Valida resposta do usuario","exceptionType","quickReply",""
"[BETA] SPD Autenticacao","[A.4.1.0] Tentar novamente","desafios","Execução de script",""
"[BETA] SPD Autenticacao","[A.4.1.0] Tentar novamente","pergunta","Execução de script",""
"[BETA] SPD Autenticacao","[A.4.1.0] Tentar novamente","bloquearKBA","{{idSessao}}",""
"[BETA] SPD Autenticacao","[A.4.1.0] Tentar novamente","respostas","[]",""
"[BETA] SPD Autenticacao","[A.3.0.0] Autenticação via BigId","pesquisaBigID","Execução de script",""
"[BETA] SPD Autenticacao","[A.3.1.0] Inicio perguntas BigID","perguntaBigID","Execução de script",""
"[BETA] SPD Autenticacao","[A.3.3.0] Valida respostas BigID","validationBody","Execução de script",""
"[BETA] SPD Autenticacao","[A.3.3.0] Valida respostas BigID","dynamicContent","Execução de script",""
"[BETA] SPD Autenticacao","[A.3.2.0][INPUT] Valida resposta big id","exceptionType","kba",""
"[BETA] SPD Autenticacao","Redirecionar Main (Menu inicial)","state","Execução de script",""
"[BETA] SPD Autenticacao","Redireciona serviço de Finalizacao (Welcome)","state","Execução de script",""
"[BETA] SPD Autenticacao","[A.0.0.2] Usuario bloqueado","dynamicContent","Execução de script",""
