"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Cascata","Exceções da Skill de Cascata de Validações","service","Exceção",""
"[BETA] SPD Cascata","V.1.0.1 | Contém emoji?","hasEmoji","Execução de script",""
"[BETA] SPD Cascata","V.1.0.1 | Contém emoji?","emojiCleanedInput","{{input.content}}",""
"[BETA] SPD Cascata","V.1.0.2 | É só emoji?","emojiCleanedInput","Execução de script",""
"[BETA] SPD Cascata","V.1.0.2 | É só emoji?","isEmojiOnly","Execução de script",""
"[BETA] SPD Cascata","V.1.0.2 | É só emoji?","exceptionTypeMedia","EX.5.0.5",""
"[BETA] SPD Cascata","V.1.0.3 | É palavra-chave?","keyword","Voltar",""
"[BETA] SPD Cascata","V.3.0.0 | Início","state","Execução de script",""
"[BETA] SPD Cascata","V.2.0.0 | Sair","state","Execução de script",""
"[BETA] SPD Cascata","V.2.0.0 | Sair","pesquisa","CES",""
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","inputType","Execução de script",""
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","isInputNotText","Execução de script",""
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","exceptionTypeMedia","Execução de script",""
"[BETA] SPD Cascata","V.1.0.0 | É uma imagem, um áudio, local. ou arq.?","teste123","Execução de script",""
"[BETA] SPD Cascata","V.5.0.0 | Voltar","lastVoltarState","Execução de script",""
"[BETA] SPD Cascata","V.1.1.1 | Pode ir para menu?","podeSeguirIntencao","Execução de script",""
"[BETA] SPD Cascata","Redirecionar a servico Intenção identificada","state","Execução de script",""
"[BETA] SPD Cascata","Redirecionar a servico Intenção identificada","assunto","{{input.intent.name}}",""
"[BETA] SPD Cascata","R -> Exceptions (ofensa)","exceptionType","ofensa",""
"[BETA] SPD Cascata","Gera novo token","encodingUrl","Execução de script",""
"[BETA] SPD Cascata","Erro de api","exceptionType","erroApi",""
"[BETA] SPD Cascata","Redirect to ""Autenticacao""","state","Execução de script",""
