"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Exception","[EX.0.0.0] Identifica exception","exceptionBlockId","Execução de script",""
"[BETA] SPD Exception","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","state","Execução de script",""
"[BETA] SPD Exception","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","errorCounter",,""
"[BETA] SPD Exception","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","apiStatus",,""
"[BETA] SPD Exception","[EX.3.0.0] Cutuca","msgCutuca","Execução de script",""
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [INPUT])","state","Execução de script",""
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [INPUT])","exceptionType",,""
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [INPUT])","apiStatus",,""
"[BETA] SPD Exception","[EX.5.0.0] Erro de audio","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[EX.5.0.1] Erro de imagem / sticker","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[EX.5.0.6] Erro de contato","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[EX.5.0.4] Erro de arquivo","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[EX.5.0.3] Erro de localização","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[EX.5.0.2] Erro de video","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[EX.5.0.5] Erro de emoji","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[Redirect] To  Finalizacao (Welcome)","state","Execução de script",""
"[BETA] SPD Exception","[Redirect] To  Finalizacao (Welcome)","errorCounter",,""
"[BETA] SPD Exception","[Redirect] To  Finalizacao (Welcome)","exceptionType",,""
"[BETA] SPD Exception","[Redirect] To  Finalizacao (Welcome)","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[Redirect] To  Finalizacao (Welcome)","apiStatus",,""
"[BETA] SPD Exception","[Redirect] To Main (Menu inicial)","state","Execução de script",""
"[BETA] SPD Exception","[Redirect] To Main (Menu inicial)","errorCounter",,""
"[BETA] SPD Exception","[Redirect] To Main (Menu inicial)","apiStatus",,""
"[BETA] SPD Exception","[EX.7.0.0] Ofensas","assunto","ofensas",""
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [MSG])","state","Execução de script",""
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [MSG])","exceptionType",,""
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [MSG])","exceptionTypeMedia","false",""
"[BETA] SPD Exception","[Redirect] To  serviço anterior (Bloco [MSG])","apiStatus",,""
"[BETA] SPD Exception","[EX.6.0.1] Erro de API Menu","dynamicContent","Execução de script",""
"[BETA] SPD Exception","Redireciona serviço anterior erro tipo","state","Execução de script",""
"[BETA] SPD Exception","Redireciona serviço anterior erro tipo","exceptionType",,""
"[BETA] SPD Exception","[Redirect] To  WhatsApp Pj (Atendente)","state","Execução de script",""
"[BETA] SPD Exception","[Redirect] To  WhatsApp Pj (Atendente)","errorCounter",,""
"[BETA] SPD Exception","[Redirect] To  WhatsApp Pj (Atendente)","apiStatus",,""
"[BETA] SPD Exception","[MS.7.2.1] Data incorreta","msgDataIncorreta","Execução de script",""
