"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Finalizacao","Exceções","state","Execução de script",""
"[BETA] SPD Finalizacao","Exceções","userInput","Execução de script",""
"[BETA] SPD Finalizacao","[F.3.2.0][INPUT] Pesquisa CES validação","exceptionType","lista",""
"[BETA] SPD Finalizacao","[F.3.2.5][MSG] Muito difícil","dynamicContent","Execução de script",""
"[BETA] SPD Finalizacao","[F.1.0.0][MSG] Tipo de finalização","tipoFinalizacao","Execução de script",""
"[BETA] SPD Finalizacao","[F.3.2.4][MSG] Difícil","dynamicContent","Execução de script",""
"[BETA] SPD Finalizacao","[F.3.1.0][MSG] Pesquisa Resolutividade","dynamicContent","Execução de script",""
"[BETA] SPD Finalizacao","[F.3.1.0][INPUT] Pesquisa Resolutividade","exceptionType","quickReply",""
"[BETA] SPD Finalizacao","[F.0.0.0][MSG] Confirma finalização","dynamicContent","Execução de script",""
"[BETA] SPD Finalizacao","[F.0.0.0][INPUT] Confirma finalização","exceptionType","quickReply",""
"[BETA] SPD Finalizacao","[F.3.1.2][MSG] Resolutividade - Não","dynamicContent","Execução de script",""
"[BETA] SPD Finalizacao","[F.3.1.2][INPUT] Resolutividade - Não validação","exceptionType","lista",""
"[BETA] SPD Finalizacao","[Redirect] to Main (Menu inicial)","state","Execução de script",""
"[BETA] SPD Finalizacao","[Redirect] to Main (Welcome)","state","Execução de script",""
"[BETA] SPD Finalizacao","[F.3.2.5][INPUT] Muito difícil validação","exceptionType","lista",""
"[BETA] SPD Finalizacao","[F.3.2.0][MSG] Pesquisa CES","dynamicContent","Execução de script",""
"[BETA] SPD Finalizacao","[F.3.2.4][INPUT] Difícil validação","exceptionType","lista",""
