"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Main","Exceções","state","Execução de script",""
"[BETA] SPD Main","Exceções","userInput","Execução de script",""
"[BETA] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","encodingUrl","Execução de script",""
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","contas","Execução de script",""
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","contaSelecionada","Execução de script",""
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","apiStatus","Execução de script",""
"[BETA] SPD Main","[M.3.0.1][MSG] Transbordo cliente não identificado","naoCliente","true",""
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","contaSelecionada","Execução de script",""
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","ecList","Execução de script",""
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","selectedEc","Execução de script",""
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","apiStatus","Execução de script",""
"[BETA] SPD Main","[M.5.0.0][MSG] Menu Principal","dynamicContent","Execução de script",""
"[BETA] SPD Main","[M.5.0.0][MSG] Menu Principal","naoCliente","false",""
"[BETA] SPD Main","[M.5.0.0][MSG] Menu Principal","numeroSegmento","{{contaSelecionada@codigoSegmento}}",""
"[BETA] SPD Main","[Redirect] To Maquina Safrapay","state","Execução de script",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","cpf","{{contact.extras.cpf}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","codigoCliente","{{contaSelecionada@codigoCliente}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","conta","{{contaSelecionada@conta}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","agencia","{{contaSelecionada@agencia}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","codigoSegmento","{{contaSelecionada@codigoSegmento}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","agenciaConta","{{contaSelecionada}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","tipoPessoa","{{contaSelecionada@tipoPessoa}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","doc","{{contaSelecionada@doc}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","shortname","{{contaSelecionada@usuario}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","ec","{{selectedEc@codigoEc}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","numeroSegmento","{{contaSelecionada@codigoSegmento}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","shortnameFull","{{contaSelecionada@shortname}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","usuario","{{contaSelecionada@usuario}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","nome","{{contact.name}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","naoCliente","false",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","tipoCliente","Bdsp",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","atendimento","bot",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","assunto","{{state@assunto}}",""
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","nomeCompleto","{{nome}}",""
"[BETA] SPD Main","[M.5.3.0][MSG]Menu Conta Corrente","dynamicContent","Execução de script",""
"[BETA] SPD Main","[M.5.3.1][MSG] Menu Extratos","dynamicContent","Execução de script",""
"[BETA] SPD Main","[M.2.0.1][INPUT] Valida CPF","exceptionType","M.2.0.1",""
"[BETA] SPD Main","[M.3.1.1][INPUT] Valida Seleção de conta","contaSelecionada","{{userInput}}",""
"[BETA] SPD Main","[M.4.1.1][INPUT] Valida Seleção de ec","selectedEc","{{userInput}}",""
"[BETA] SPD Main","[M.4.1.1][INPUT] Valida Seleção de ec","exceptionType","M.4.1.1",""
"[BETA] SPD Main","[M.5.0.0][INPUT] Menu Principal","exceptionType","lista",""
"[BETA] SPD Main","[M.5.0.0][INPUT] Menu Principal","assunto","{{userInput}}",""
"[BETA] SPD Main","[M.5.3.0][INPUT]Valida seleção menu conta corrente","assunto","{{userInput}}",""
"[BETA] SPD Main","[M.5.3.0][INPUT]Valida seleção menu conta corrente","exceptionType","lista",""
"[BETA] SPD Main","[M.5.3.1][INPUT] Valida seleção menu extratos","assunto","{{userInput}}",""
"[BETA] SPD Main","[Redirect] WhatsApp PJ (atendente)","state","Execução de script",""
"[BETA] SPD Main","[Redirect] to Autenticacao (Falar sobre conta)","state","Execução de script",""
"[BETA] SPD Main","[Redirect] To Soluções","state","Execução de script",""
"[BETA] SPD Main","[M.5.4.0][MSG] Produtos","dynamicContent","Execução de script",""
"[BETA] SPD Main","[M.5.4.0][INPUT] Produtos","exceptionType","lista",""
"[BETA] SPD Main","[Redirect] Menu produtos","state","Execução de script",""
"[BETA] SPD Main","[Redirect] Menu Conta Corrente","state","Execução de script",""
"[BETA] SPD Main","[Redirect] to Finalizacao (Welcome)","state","Execução de script",""
"[BETA] SPD Main","[M.5.4.1][MSG] Meu Desempenho","dynamicContent","Execução de script",""
"[BETA] SPD Main","[M.5.4.1][INPUT] Meu Desempenho","exceptionType","lista",""
"[BETA] SPD Main","[Redirect] to Atendimento Humano","state","Execução de script",""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","atendimento","bot",""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","idSessao","{{random.guid}}",""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","exceptionTypeMedia","false",""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","contaSelecionada",,""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","errorCounter",,""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","returnStateAuth","false",""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","autenticado","false",""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","assunto","inicio",""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","autoservico",,""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","autenticadoKba","false",""
"[BETA] SPD Main","[M.0.0.0] Limpa Variaveis","voltarState",,""
"[BETA] SPD Main","[M.4.0.1][HTTP] Obtem Carterização","statusAccountManager","504",""
