"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Maquina Safrapay","Início","exceptionType","erroGenerico",""
"[BETA] SPD Maquina Safrapay","Exceções","userInput","Execução de script",""
"[BETA] SPD Maquina Safrapay","Exceções","state","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.2.0.0] [SET] Simulador de Vendas Inicio","pesquisa","resolutividade",""
"[BETA] SPD Maquina Safrapay","[MS.2.0.1] [INPUT] Simulador de Vendas - Máquina","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.0] [MSG] Tipo de venda","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.0] [INPUT] Tipo de venda","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.1] [INPUT] Valor simulacao","exceptionType","MS.2.1.1",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.2] [MSG] Tipo pagamento","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.2] [INPUT] Tipo pagamento","exceptionType","quickReply",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.3] [HTTP] API Simular Vendas","apiStatus","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.3] [HTTP] API Simular Vendas","exceptionType","erroApi",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.4] [MSG] Selecao Bandeira","dynamicContent","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.4] [INPUT] Selecao Bandeira","exceptionType","lista",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.4] [INPUT] Selecao Bandeira","salesCardFlag","{{userInput}}",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","salesPaymentTypeStringfy","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","salesValueStringfy","Execução de script",""
"[BETA] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","salesSimulation","Execução de script",""
