"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Solucoes","Exceções","state","Execução de script",""
"[BETA] SPD Solucoes","Exceções","userInput","Execução de script",""
"[BETA] SPD Solucoes","[Redirect] To Finalizacao (Welcome)","state","Execução de script",""
"[BETA] SPD Solucoes","[Redirect] To WhatsApp PJ (atendente)","state","Execução de script",""
"[BETA] SPD Solucoes","Vender com Link","elegivel","Execução de script",""
"[BETA] SPD Solucoes","Vender com Link","valorLimiteDiario","Execução de script",""
"[BETA] SPD Solucoes","Vender com Link","valorUtilizado","Execução de script",""
"[BETA] SPD Solucoes","Vender com Link","resultado","Execução de script",""
"[BETA] SPD Solucoes","Vender com Link","alterar","false",""
"[BETA] SPD Solucoes","Valor","limiteteste","{{valorLimiteDiario}}",""
"[BETA] SPD Solucoes","Breve Mensagem","mensagem",,""
"[BETA] SPD Solucoes","Confirmação","valorFormatado","Execução de script",""
"[BETA] SPD Solucoes","Vender com Link - API","valor","Execução de script",""
"[BETA] SPD Solucoes","Possui limite","valorUtilizado","Execução de script",""
"[BETA] SPD Solucoes","Possui limite","valorLimiteDiario","Execução de script",""
"[BETA] SPD Solucoes","Alterar","alterar","true",""
"[BETA] SPD Solucoes","Script","statusSelecionado","Execução de script",""
"[BETA] SPD Solucoes","Script","sizeStatusSelecionado","Execução de script",""
"[BETA] SPD Solucoes","Script","dinamicoDatas","Execução de script",""
"[BETA] SPD Solucoes","Valor - Alterar","limiteteste","{{valorLimiteDiario}}",""
"[BETA] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","30dias","Execução de script",""
"[BETA] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","numeroLink","Execução de script",""
"[BETA] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","hoje","{{calendar.date}}",""
"[BETA] SPD Solucoes","Apenas um Link","msg","Execução de script",""
"[BETA] SPD Solucoes","API Cancelar Link","idLinkPagamento","{{linkselecionado@id}}",""
"[BETA] SPD Solucoes","Selecione um Status","dinamico","Execução de script",""
"[BETA] SPD Solucoes","Selecione a Data","dinamicoDatas","Execução de script",""
"[BETA] SPD Solucoes","Mensagem","mensagemLink","Execução de script",""
"[BETA] SPD Solucoes","Filtro Data","dataFormatada","Execução de script",""
"[BETA] SPD Solucoes","Gestão de links - Data especifica","numeroLink","Execução de script",""
"[BETA] SPD Solucoes","API gestão link","numeroLink","Execução de script",""
"[BETA] SPD Solucoes","Apenas uma data","dinamicoDatas","Execução de script",""
"[BETA] SPD Solucoes","[S.2.0.0] [INPUT] Consulta Status Protocolo","numeroProtocolo","{{input.content}}",""
"[BETA] SPD Solucoes","[S.2.0.0] [INPUT] Consulta Status Protocolo","exceptionType","protocolo",""
"[BETA] SPD Solucoes","[S.2.0.1] [HTTP] Api Consulta Status Protocolo","protocoloEncontrado","Execução de script",""
"[BETA] SPD Solucoes","[S.2.0.1] [HTTP] Api Consulta Status Protocolo","apiStatus","Execução de script",""
"[BETA] SPD Solucoes","[S.2.2.0] [MSG] Consultar Outro Protocolo","dynamicContent","Execução de script",""
"[BETA] SPD Solucoes","[S.2.2.0] [INPUT] Consultar Outro Protocolo","exceptionType","quickReply",""
"[BETA] SPD Solucoes","[S.1.0.0][MSG] Menu Soluções","dynamicContent","Execução de script",""
"[BETA] SPD Solucoes","[S.1.0.0][INPUT] Menu Soluções","assunto","{{userInput}}",""
"[BETA] SPD Solucoes","[S.1.0.0][INPUT] Menu Soluções","exceptionType","lista",""
"[BETA] SPD Solucoes","[Redirect] To ""Autenticacao"" (Descredenciamento)","state","Execução de script",""
