"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] SPD Taxas e Condicoes","Exceções","state","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","taxaAntecipacao","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","taxaModalidade","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","apiStatus","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","exceptionType","erroApi",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","tipoMaquina","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","sizeMaquinas","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","modalidadeMaquina","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","apiStatus","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","pesquisa","ces",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","exceptionType","erroApi",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","nomeTipoEquipamento",,""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","numeroserie",,""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","valorTabela","",""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","valorPago",,""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","faturamentoMensal",,""
"[BETA] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","faturamentoAnual","0",""
"[BETA] SPD Taxas e Condicoes","[TC.7.0.0][MSG] Questionar uma cobrança","dynamicContent","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.7.0.0][MSG] Questionar uma cobrança","pesquisa","resolutividade",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","taxModality","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.2][INPUT] Modalidade de venda","exceptionType","quickReply",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","taxModality","Vendas Físicas",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","exceptionType","lista",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.1][INPUT] Selecao Bandeiras","taxCardFlag","{{userInput}}",""
"[BETA] SPD Taxas e Condicoes","[TC.2.0.2][SET] ""taxasExibir""","taxasExibir","Execução de script",""
"[BETA] SPD Taxas e Condicoes","[TC.4.3.0][MSG] Alugada ou Comprada","dynamicContent","Execução de script",""
