"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[BETA] Seguros","Exceções","userInput","Execução de script",""
"[BETA] Seguros","Exceções","state","Execução de script",""
"[BETA] Seguros","[S.1.0.0][MSG] Menu Seguros","dynamicContent","Execução de script",""
"[BETA] Seguros","[S.1.0.0][INPUT] Menu Seguros","exceptionType","lista",""
"[BETA] Seguros","[S.3.0.0][MSG] Pagamento em atraso","dynamicContent","Execução de script",""
"[BETA] Seguros","[S.3.0.0][INPUT] Pagamento em atraso","exceptionType","quickReply",""
"[BETA] Seguros","[Redirect] to Finalizacao (Welcome)","state","Execução de script",""
"[BETA] Seguros","[Redirect] to Finalizacao (Welcome)","pesquisa","resolutividade",""
"[BETA] Seguros","[S.6.0.0][MSG] Sinistro","dynamicContent","Execução de script",""
"[BETA] Seguros","[S.6.0.0][INPUT] Sinistro","exceptionType","quickReply",""
