"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] App","[A.2.0.0] Menu Acesso","dynamicContent","Execução de script",""
"[DEV] App","[A.2.2.0] Menu - Problemas de Login","dynamicContent","Execução de script",""
"[DEV] App","[A.2.6.0] Erro no Aplicativo","pesquisa","CES",""
"[DEV] App","[A.2.4.0]Erro ao logar","dynamicContent","Execução de script",""
"[DEV] App","[A.2.3.0] Acesso Bloqueado","dynamicContent","Execução de script",""
"[DEV] App","[A.2.5.0] Não recebi senha","dynamicContent","Execução de script",""
"[DEV] App","[A.2.3.1] Acesso Bloqueado - sim","userInput","Encerrar",""
"[DEV] App","[A.2.5.1] Não recebi senha - IOS","dynamicContent","Execução de script",""
"[DEV] App","[A.2.5.2] Não recebi senha - ANDROID","dynamicContent","Execução de script",""
"[DEV] App","[A.2.6.1] Celular ou pc","dynamicContent","Execução de script",""
"[DEV] App","[A.2.6.1] Celular ou pc","pesquisa","CES",""
"[DEV] App","[A.2.7.0] Celular","dynamicContent","Execução de script",""
"[DEV] App","[A.2.10.0] PC","dynamicContent","Execução de script",""
"[DEV] App","[A.2.8.0] Android","dynamicContent","Execução de script",""
"[DEV] App","[A.2.9.0] Apple IOS","dynamicContent","Execução de script",""
"[DEV] App","[A.2.8.1] Dica horário","dynamicContent","Execução de script",""
"[DEV] App","[A.2.8.2] Limpa cache","dynamicContent","Execução de script",""
"[DEV] App","[A.2.8.4] Reinstalar aplicativo","dynamicContent","Execução de script",""
"[DEV] App","[A.2.8.3] Atualizar aplicativo","dynamicContent","Execução de script",""
"[DEV] App","[A.2.9.3] Reinstalar aplicativo","dynamicContent","Execução de script",""
"[DEV] App","[A.2.9.1] Dica horário","dynamicContent","Execução de script",""
"[DEV] App","[A.2.9.2] Atualizar aplicativo","dynamicContent","Execução de script",""
"[DEV] App","[A.2.12.0] Apple IOS","dynamicContent","Execução de script",""
"[DEV] App","[A.2.12.1] Reiniciar modem","dynamicContent","Execução de script",""
"[DEV] App","[A.2.12.2] Dica horário","dynamicContent","Execução de script",""
"[DEV] App","[A.2.12.3] Limpar cache","dynamicContent","Execução de script",""
"[DEV] App","[A.2.11.0] Windows","dynamicContent","Execução de script",""
"[DEV] App","[A.2.11.1] Reiniciar modem","dynamicContent","Execução de script",""
"[DEV] App","[A.2.11.2] Dica horario","dynamicContent","Execução de script",""
"[DEV] App","[A.2.11.3] Limpar cache","dynamicContent","Execução de script",""
"[DEV] App","[A.2.8.0] Validação","exceptionType","quickReply",""
"[DEV] App","[A.1.0.0] Menu - inicial","dynamicContent","Execução de script",""
"[DEV] App","[A.1.0.0] Validação menu inicial","exceptionType","lista",""
"[DEV] App","[A.2.0.0] Validação menu acesso","exceptionType","lista",""
"[DEV] App","[A.2.2.0] Validação - Menu Problemas de login","exceptionType","lista",""
"[DEV] App","[A.2.4.0] Validação - Erro ao logar","exceptionType","quickReply",""
"[DEV] App","[A.2.3.0] Validação - Acesso Bloqueado","exceptionType","quickReply",""
"[DEV] App","[A.2.5.0] Validação - Não recebi senmha","exceptionType","quickReply",""
"[DEV] App","[A.2.5.1] Validação - Não recebi senha IOS","exceptionType","quickReply",""
"[DEV] App","[A.2.5.2] Validação - Não recebi senha Android","exceptionType","quickReply",""
"[DEV] App","[A.3.0.0] Alterações cadastrais","dynamicContent","Execução de script",""
"[DEV] App","[A.3.0.0] Validação Alterações Cadastrais","exceptionType","quickReply",""
"[DEV] App","[A.3.1.0][MSG] Alterações cadastrais","dynamicContent","Execução de script",""
"[DEV] App","[A.3.1.0][MSG] Alterações cadastrais","userInput","Encerrar",""
"[DEV] App","[A.2.8.1] Validação Dica horário","exceptionType","quickReply",""
"[DEV] App","[A.2.8.2] Validação Limpa cache","exceptionType","quickReply",""
"[DEV] App","[A.2.8.3] Validação Atualizar aplicativo","exceptionType","quickReply",""
"[DEV] App","[A.2.9.3]  Validação Reinstalar aplicativo","exceptionType","quickReply",""
"[DEV] App","[A.2.9.0]  Validação Apple IOS","exceptionType","quickReply",""
"[DEV] App","[A.2.9.1] Dica horário Validação","exceptionType","quickReply",""
"[DEV] App","[A.2.9.3] Atualizar aplicativo Validação","exceptionType","quickReply",""
"[DEV] App","[A.2.8.4] Validação Reinstalar aplicativo","exceptionType","quickReply",""
"[DEV] App","[A.2.7.0] Validação celular","exceptionType","quickReply",""
"[DEV] App","[A.2.6.1] Validação - Origem Acesso","exceptionType","quickReply",""
"[DEV] App","[A.2.11.0] Windows Validação","exceptionType","quickReply",""
"[DEV] App","[A.2.12.3] Limpar cache Validação","exceptionType","quickReply",""
"[DEV] App","[A.2.12.2] Validação Dica horário","exceptionType","quickReply",""
"[DEV] App","[A.2.12.1]  Validação Reiniciar modem","exceptionType","quickReply",""
"[DEV] App","[A.2.12.0] Apple IOS Validação","exceptionType","quickReply",""
"[DEV] App","[A.2.11.3]  Validação Limpar cache","exceptionType","quickReply",""
"[DEV] App","[A.2.11.2] Validação Dica horario","exceptionType","quickReply",""
"[DEV] App","[A.2.11.1] Validação Reiniciar modem","exceptionType","quickReply",""
"[DEV] App","[A.2.10.0] Validação PC","exceptionType","quickReply",""
"[DEV] App","[Redirect] para WhatsApp PJ (atendente)","state","Execução de script",""
"[DEV] App","[A.3.1.0][INPUT] Alterações cadastrais","exceptionType","quickReply",""
