"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] Cascata","Exceções","errorCounter",,""
"[DEV] Cascata","[EX.0.0.0] Identifica exception","exceptionBlockId","Execução de script",""
"[DEV] Cascata","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","state","Execução de script",""
"[DEV] Cascata","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","exceptionType",,""
"[DEV] Cascata","[EX.3.0.0] Cutuca","msgCutuca","Execução de script",""
"[DEV] Cascata","Redireciona serviço anterior (Bloco [INPUT])","state","Execução de script",""
"[DEV] Cascata","Redireciona serviço anterior (Bloco [INPUT])","exceptionType",,""
"[DEV] Cascata","[EX.5.0.0] Erro de audio","exceptionTypeMedia","false",""
"[DEV] Cascata","[EX.5.0.1] Erro de imagem / sticker","exceptionTypeMedia","false",""
"[DEV] Cascata","[EX.5.0.6] Erro de contato","exceptionTypeMedia","false",""
"[DEV] Cascata","[EX.5.0.4] Erro de arquivo","exceptionTypeMedia","false",""
"[DEV] Cascata","[EX.5.0.3] Erro de localização","exceptionTypeMedia","false",""
"[DEV] Cascata","[EX.5.0.2] Erro de video","exceptionTypeMedia","false",""
"[DEV] Cascata","[EX.5.0.5] Erro de emoji","exceptionTypeMedia","false",""
"[DEV] Cascata","Redireciona serviço de Finalizacao (Welcome)","state","Execução de script",""
"[DEV] Cascata","Redireciona serviço de Finalizacao (Welcome)","errorCounter",,""
"[DEV] Cascata","Redireciona serviço de Finalizacao (Welcome)","exceptionType",,""
"[DEV] Cascata","Redireciona serviço de Finalizacao (Welcome)","exceptionTypeMedia","false",""
"[DEV] Cascata","Redirecionar Main (Menu inicial)","state","Execução de script",""
"[DEV] Cascata","Redirecionar Main (Menu inicial)","errorCounter",,""
"[DEV] Cascata","[EX.7.0.0] Ofensas","assunto","ofensas",""
"[DEV] Cascata","Redireciona serviço anterior (Bloco [MSG])","state","Execução de script",""
"[DEV] Cascata","Redireciona serviço anterior (Bloco [MSG])","exceptionType",,""
"[DEV] Cascata","Redireciona serviço anterior (Bloco [MSG])","exceptionTypeMedia","false",""
"[DEV] Cascata","Redireciona serviço anterior erro tipo","state","Execução de script",""
"[DEV] Cascata","Redireciona serviço anterior erro tipo","exceptionType",,""
"[DEV] Cascata","Redirecionar WhatsApp Pj (Atendente)","state","Execução de script",""
"[DEV] Cascata","Redirecionar WhatsApp Pj (Atendente)","errorCounter",,""
"[DEV] Cascata","[MS.7.2.1] Data incorreta","msgDataIncorreta","Execução de script",""
