"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] Excecoes","Exceções","errorCounter",,""
"[DEV] Excecoes","[EX.0.0.0] Identifica exception","exceptionBlockId","Execução de script",""
"[DEV] Excecoes","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","state","Execução de script",""
"[DEV] Excecoes","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","exceptionType",,""
"[DEV] Excecoes","[EX.3.0.0] Cutuca","msgCutuca","Execução de script",""
"[DEV] Excecoes","Redireciona serviço anterior (Bloco [INPUT])","state","Execução de script",""
"[DEV] Excecoes","Redireciona serviço anterior (Bloco [INPUT])","exceptionType",,""
"[DEV] Excecoes","[EX.5.0.0] Erro de audio","exceptionTypeMedia","false",""
"[DEV] Excecoes","[EX.5.0.1] Erro de imagem / sticker","exceptionTypeMedia","false",""
"[DEV] Excecoes","[EX.5.0.6] Erro de contato","exceptionTypeMedia","false",""
"[DEV] Excecoes","[EX.5.0.4] Erro de arquivo","exceptionTypeMedia","false",""
"[DEV] Excecoes","[EX.5.0.3] Erro de localização","exceptionTypeMedia","false",""
"[DEV] Excecoes","[EX.5.0.2] Erro de video","exceptionTypeMedia","false",""
"[DEV] Excecoes","[EX.5.0.5] Erro de emoji","exceptionTypeMedia","false",""
"[DEV] Excecoes","Redireciona serviço de Finalizacao (Welcome)","state","Execução de script",""
"[DEV] Excecoes","Redireciona serviço de Finalizacao (Welcome)","errorCounter",,""
"[DEV] Excecoes","Redireciona serviço de Finalizacao (Welcome)","exceptionType",,""
"[DEV] Excecoes","Redireciona serviço de Finalizacao (Welcome)","exceptionTypeMedia","false",""
"[DEV] Excecoes","Redirecionar Main (Menu inicial)","state","Execução de script",""
"[DEV] Excecoes","Redirecionar Main (Menu inicial)","errorCounter",,""
"[DEV] Excecoes","[EX.7.0.0] Ofensas","assunto","ofensas",""
"[DEV] Excecoes","Redireciona serviço anterior (Bloco [MSG])","state","Execução de script",""
"[DEV] Excecoes","Redireciona serviço anterior (Bloco [MSG])","exceptionType",,""
"[DEV] Excecoes","Redireciona serviço anterior (Bloco [MSG])","exceptionTypeMedia","false",""
"[DEV] Excecoes","Redireciona serviço anterior erro tipo","state","Execução de script",""
"[DEV] Excecoes","Redireciona serviço anterior erro tipo","exceptionType",,""
"[DEV] Excecoes","Redirecionar WhatsApp Pj (Atendente)","state","Execução de script",""
"[DEV] Excecoes","Redirecionar WhatsApp Pj (Atendente)","errorCounter",,""
"[DEV] Excecoes","[MS.7.2.1] Data incorreta","msgDataIncorreta","Execução de script",""
