"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] SPD Intencoes","Início","naoentendimento","0",""
"[DEV] SPD Intencoes","Início","autenticacao",,""
"[DEV] SPD Intencoes","Intenções","intentAccuracy","Execução de script",""
"[DEV] SPD Intencoes","Taxas de venda","naoentedimento","0",""
"[DEV] SPD Intencoes","Taxas de venda","mensagem","{{input.content}}",""
"[DEV] SPD Intencoes","Taxas de venda","assunto","Taxas de venda",""
"[DEV] SPD Intencoes","Taxas de venda","transacao","SAFRAPAY_TAXAS_E_CONDICOES",""
"[DEV] SPD Intencoes","Taxas de antecipação","mensagem","{{input.content}}",""
"[DEV] SPD Intencoes","Taxas de antecipação","assunto","Taxas de antecipação",""
"[DEV] SPD Intencoes","Taxas de antecipação","transacao","SAFRAPAY_TAXAS_E_CONDICOES",""
"[DEV] SPD Intencoes","Consultar máquinas","mensagem","{{input.content}}",""
"[DEV] SPD Intencoes","Consultar máquinas","assunto","Consultar máquinas",""
"[DEV] SPD Intencoes","Consultar máquinas","transacao","SAFRAPAY_CONSULTA_MAQUINA",""
"[DEV] SPD Intencoes","Taxa Pix na SafraPay","mensagem","{{input.content}}",""
"[DEV] SPD Intencoes","Taxa Pix na SafraPay","assunto","Taxa Pix na SafraPay",""
"[DEV] SPD Intencoes","Taxa Pix na SafraPay","transacao","SAFRAPAY_TAXAS_E_CONDICOES",""
"[DEV] SPD Intencoes","Questionar uma cobrança","mensagem","{{input.content}}",""
"[DEV] SPD Intencoes","Questionar uma cobrança","assunto","Questionar uma cobrança",""
"[DEV] SPD Intencoes","Questionar uma cobrança","transacao","SAFRAPAY_ABERTURA_PROTOCOLOS",""
"[DEV] SPD Intencoes","BOT - Taxas e condições","botDestinationLegacy","Execução de script",""
"[DEV] SPD Intencoes","BOT - Taxas e condições","naoentedimento","0",""
"[DEV] SPD Intencoes","BOT - Taxas e condições","autoservico","true",""
"[DEV] SPD Intencoes","Não entendimento","naoentendimento","Execução de script",""
"[DEV] SPD Intencoes","atendimento","atendimento","humano",""
"[DEV] SPD Intencoes","atendimento","dataHora","{{calendar.datetime}}",""
"[DEV] SPD Intencoes","BOT - Soluções","autoservico","true",""
"[DEV] SPD Intencoes","Avaliar menu","state","Execução de script",""
"[DEV] SPD Intencoes","Intenções 2","mensagem","{{input.content}}",""
"[DEV] SPD Intencoes","redireciona main","botDestinationLegacy","Execução de script",""
"[DEV] SPD Intencoes","Autenticação","requestBody","Execução de script",""
"[DEV] SPD Intencoes","Autenticação","encodingUrl","Execução de script",""
"[DEV] SPD Intencoes","Autenticação","autenticacao","Execução de script",""
"[DEV] SPD Intencoes","Autenticação","statusMFA",,""
"[DEV] SPD Intencoes","Autenticação","id","Execução de script",""
"[DEV] SPD Intencoes","Autenticação","transacao","SAFRAPAY_TAXAS_E_CONDICOES",""
"[DEV] SPD Intencoes","Autenticação","contador","0",""
"[DEV] SPD Intencoes","Autenticação","respostas","[]",""
"[DEV] SPD Intencoes","Autenticação","idOperacao","{{bodyVerificaMFA@data.detalhes.idOperacao}}",""
"[DEV] SPD Intencoes","Autenticação","count","0",""
"[DEV] SPD Intencoes","Autenticação","nossoBody","{   ""transacao"": ""{{transacao}}}"",   ""cliente"": {     ""codigo"": ""{{codigoCliente}}"",     ""agencia"": ""{{agencia}}"",     ""conta"": ""{{conta}}"",     ""numeroCelular"": ""{{phone}}""   } }  {   ""transacao"": ""{{transacao}}""   ""idTransacao"": ""{{random.guid}}"",   ""cliente"": {     ""codigo"": ""{{codigoCliente}}"",     ""agencia"": ""{{agencia}}"",     ""conta"":""{{conta}}"",     ""numeroCelular"": ""{{phone}}"",     ""cpf"": ""{{doc}}"",     ""nome"": ""{{nomeCompleto}}"",     ""shortname"": ""{{shortnamefull}}"",     ""usuario"": ""{{shortname}}"",     ""codigoSegmento"": {{codigoSegmento}}   },   ""bot"": {     ""id"": ""routersafraprodwhatsapppj"",     ""idSessao"": ""{{idSessao}}""   } }",""
"[DEV] SPD Intencoes","Autenticação","autenticado","true",""
"[DEV] SPD Intencoes","KBA","bodyQuestion","Execução de script",""
"[DEV] SPD Intencoes","KBA","pesquisas","Execução de script",""
"[DEV] SPD Intencoes","Aprovado","horarioAutenticado","{{calendar.unixTime}}",""
"[DEV] SPD Intencoes","Aprovado","autenticadoKba","true",""
"[DEV] SPD Intencoes","Negado","autenticadoKba","false",""
"[DEV] SPD Intencoes","Pergunta","retornoPerguntas","Execução de script",""
"[DEV] SPD Intencoes","Aguarda resposta","respostas","Execução de script",""
"[DEV] SPD Intencoes","Aguarda resposta","contador","Execução de script",""
"[DEV] SPD Intencoes","Aguarda resposta","encerrado","Execução de script",""
"[DEV] SPD Intencoes","Resposta KBA","id","Execução de script",""
"[DEV] SPD Intencoes","Resposta KBA","acao","Execução de script",""
"[DEV] SPD Intencoes","Resposta KBA","count","Execução de script",""
"[DEV] SPD Intencoes","Resposta KBA","request","{   ""transacao"": ""{{transacao}}_VALIDACAO"",   ""cliente"": {     ""codigo"": ""{{codigoCliente}}"",     ""agencia"": ""{{agencia}}"",     ""conta"": ""{{conta}}"",     ""numeroCelular"": ""{{phone}}""   },   ""autenticacao"": {     ""idOperacao"": ""{{idOperacao}}"",     ""desafio"": {       ""tipo"": ""kba"",       ""id"": ""{{id}}"",       ""respostas"":          {{respostas}}    }   } }",""
"[DEV] SPD Intencoes","Resposta KBA","bodyVerificaMFA","{{bodyKbaValidar}}",""
"[DEV] SPD Intencoes","tentativas excedidas","tentativaExcedida","true",""
"[DEV] SPD Intencoes","tentativas excedidas","autenticadoKba","false",""
"[DEV] SPD Intencoes","Simulador de vendas","assunto","Simulador de Vendas",""
"[DEV] SPD Intencoes","Simulador de vendas","transacao","SAFRAPAY_SIMULACAO_VENDAS",""
"[DEV] SPD Intencoes","Outros","autoservico","true",""
"[DEV] SPD Intencoes","Extratos","autoservico","true",""
"[DEV] SPD Intencoes","Pagar conta","autoservico","true",""
"[DEV] SPD Intencoes","Pix 2","autoservico","true",""
"[DEV] SPD Intencoes","antecipar","autoservico","true",""
"[DEV] SPD Intencoes","Ofensas","assunto","ofensas",""
"[DEV] SPD Intencoes","Tracking Finalização","botDestinationLegacy","Execução de script",""
"[DEV] SPD Intencoes","Domicilio bancario","assunto","Domicilio bancario",""
"[DEV] SPD Intencoes","Domicilio bancario","transacao","SAFRAPAY_TAXAS_E_CONDICOES",""
"[DEV] SPD Intencoes","pacotes","assunto","pacotes",""
"[DEV] SPD Intencoes","pacotes","transacao","SAFRAPAY_ABERTURA_PROTOCOLOS",""
"[DEV] SPD Intencoes","Redirect to Bot Intenções (Assunto)","botDestinationLegacy","Execução de script",""
"[DEV] SPD Intencoes","Redirect to Taxas e Condições (Domicilio bancario)","botDestinationLegacy","Execução de script",""
"[DEV] SPD Intencoes","R - WhatsApp PJ","botRedirectMessage","Execução de script",""
"[DEV] SPD Intencoes","R - WhatsApp PJ","assunto","{{input.intent.name}}",""
"[DEV] SPD Intencoes","Descredenciamento","assunto","descredenciamento",""
"[DEV] SPD Intencoes","Descredenciamento","transacao","SAFRAPAY_DESCREDENCIAMENTO",""
"[DEV] SPD Intencoes","R-Pacotes","botDestinationLegacy","Execução de script",""
"[DEV] SPD Intencoes","Conta Corrente","transacao","SAFRAPAY_TAXAS_E_CONDICOES",""
"[DEV] SPD Intencoes","Conta Corrente","assunto","Conta Corrente",""
"[DEV] SPD Intencoes","Contratar antecipação","transacao","SAFRAPAY_TAXAS_E_CONDICOES",""
"[DEV] SPD Intencoes","Contratar antecipação","assunto","Contratar antecipacao",""
"[DEV] SPD Intencoes","(Falar sobre minha conta)","assunto","falar conta",""
"[DEV] SPD Intencoes","(Falar sobre minha conta)","transacao","SAFRAPAY_TAXAS_E_CONDICOES",""
"[DEV] SPD Intencoes","Valida respostas BigID","validationBody","Execução de script",""
"[DEV] SPD Intencoes","Pergunta BigID","perguntaBigID","Execução de script",""
"[DEV] SPD Intencoes","Autenticação BigID","pesquisaBigID","Execução de script",""
"[DEV] SPD Intencoes","PASSAR CONTEXTO","REQDOMBANC","Execução de script",""
