"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","encodingUrl","Execução de script",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","naoentendimento","0",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","atendimento","bot",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","autoservico",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","idSessao","{{random.guid}}",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","exceptionTypeMedia","false",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","contaSelecionada",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","errorCounter",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","returnStateAuth","false",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","doc","0",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","statusContas",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","assunto","inicio",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","naoCliente",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","cpf",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","nome",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","numeroSegmento",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","statusCarterizacao",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","statusDadosConta",,""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","autenticadoKba","false",""
"[DEV] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","voltarState",,""
"[DEV] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","contas","Execução de script",""
"[DEV] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","contaSelecionada","Execução de script",""
"[DEV] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","apiStatus","Execução de script",""
"[DEV] SPD Main","[M.3.0.1][MSG] Transbordo cliente não identificado","naoCliente","true",""
"[DEV] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","contaSelecionada","Execução de script",""
"[DEV] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","ecList","Execução de script",""
"[DEV] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","selectedEc","Execução de script",""
"[DEV] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","apiStatus","Execução de script",""
"[DEV] SPD Main","[M.5.0.0][MSG] Menu Principal","dynamicContent","Execução de script",""
"[DEV] SPD Main","[M.5.0.0][MSG] Menu Principal","naoCliente","false",""
"[DEV] SPD Main","[Redirect] To Taxas e condições","state","Execução de script",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","cpf","{{contact.extras.cpf}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","codigoCliente","{{contaSelecionada@codigoCliente}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","conta","{{contaSelecionada@conta}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","agencia","{{contaSelecionada@agencia}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","codigoSegmento","{{contaSelecionada@codigoSegmento}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","agenciaConta","{{contaSelecionada}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","tipoPessoa","{{contaSelecionada@tipoPessoa}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","doc","{{contaSelecionada@doc}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","shortname","{{contaSelecionada@usuario}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","ec","{{selectedEc@codigoEc}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","numeroSegmento","{{contaSelecionada@codigoSegmento}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","shortnameFull","{{contaSelecionada@shortname}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","usuario","{{contaSelecionada@usuario}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","nome","{{contact.name}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","naoCliente","false",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","tipoCliente","Bdsp",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","atendimento","bot",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","assunto","{{state@assunto}}",""
"[DEV] SPD Main","[Temporario][OLD] Redireciona ao serviço","nomeCompleto","{{nome}}",""
"[DEV] SPD Main","[M.5.1.0][MSG] Menu - Máquinas Safrapay","dynamicContent","Execução de script",""
"[DEV] SPD Main","[M.5.3.0][MSG]Menu Conta Corrente","dynamicContent","Execução de script",""
"[DEV] SPD Main","[M.5.3.1][MSG] Menu Extratos","dynamicContent","Execução de script",""
"[DEV] SPD Main","[M.2.0.1][INPUT] Valida CPF","exceptionType","M.2.0.1",""
"[DEV] SPD Main","[M.3.1.1][INPUT] Valida Seleção de conta","contaSelecionada","{{userInput}}",""
"[DEV] SPD Main","[M.4.1.1][INPUT] Valida Seleção de ec","selectedEc","{{userInput}}",""
