"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] SPD Maquina Safrapay","Início","exceptionType","erroGenerico",""
"[DEV] SPD Maquina Safrapay","Exceções","state","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.4.0.0] [MSG] Não recebi minha venda","exceptionType","MS.4.0.0",""
"[DEV] SPD Maquina Safrapay","[MS.4.1.0] Solicita valor da venda","exceptionType","MS.4.1.0",""
"[DEV] SPD Maquina Safrapay","[MS.2.0.0] [MSG] Simulador de Vendas - Máquina","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.0.0] [INPUT] Simulador de Vendas - Máquina","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.0] [MSG] Tipo de venda","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.0] [INPUT] Tipo de venda","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.1] [INPUT] Valor simulacao","exceptionType","MS.2.1.1",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.2] [MSG] Tipo pagamento","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.2] [INPUT] Tipo pagamento","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.3] [HTTP] API Simular Vendas","apiStatus","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.3] [HTTP] API Simular Vendas","exceptionType","erroApi",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.4] [MSG] Selecao Bandeira","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.4] [INPUT] Selecao Bandeira","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.4] [INPUT] Selecao Bandeira","salesCardFlag","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","salesPaymentTypeStringfy","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","salesValueStringfy","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","salesSimulation","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.5] Cobrar / Receber (À Vista)","salesSufixStringfy","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","salesPaymentTypeStringfy","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","salesValueStringfy","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","salesSimulation","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","salesSimulationStringfy","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.1.6] Cobrar / Receber (Parcelado)","salesSufixStringfy","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.2.2.0] [MSG] Menu simulação opções","salesSimulation",,""
"[DEV] SPD Maquina Safrapay","[MS.2.2.0] [MSG] Menu simulação opções","salesValueStringfy",,""
"[DEV] SPD Maquina Safrapay","[MS.2.2.0] [MSG] Menu simulação opções","salesPaymentTypeStringfy",,""
"[DEV] SPD Maquina Safrapay","[MS.2.2.0] [MSG] Menu simulação opções","salesSufixStringfy",,""
"[DEV] SPD Maquina Safrapay","[MS.2.2.0] [INPUT] Menu simulação opções","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[Redirect] to Taxas de Vendas","state","Execução de script",""
"[DEV] SPD Maquina Safrapay","[Redirect] to Finalizacao (Welcome)","state","Execução de script",""
"[DEV] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (atendente)","state","Execução de script",""
"[DEV] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (atendente)","atendimento","humano",""
"[DEV] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (atendente)","msg",,""
"[DEV] SPD Maquina Safrapay","[MS.5.0.0][MSG] Menu Suporte e configurações","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.5.0.0][INPUT] Menu suporte e configurações","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.5.0.0][INPUT] Menu suporte e configurações","assunto","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.6.0.0][MSG] Menu Suporte","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.0.0][INPUT] Menu Suporte","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.6.1.0][MSG] Menu Ligar e Desligar","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.1.0][INPUT] Menu Ligar e Desligar","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.6.1.0][INPUT] Menu Ligar e Desligar","subAssunto","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.6.1.1][MSG] Menu selecionar modelo da maquina","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.1.1][INPUT] Menu selecionar modelo da maquina","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.6.1.2][MSG] Ligar e Desligar","equipamentoNaoLigaMsg","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.X.X.X][MSG] Problema resolvido?","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.X.X.X][INPUT] Problema resolvido?","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.6.4.0][MSG] Status inválido","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.5.0][MSG] Menu Reinicialização","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.5.0][INPUT] Equipamento reiniciando","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.6.5.0][INPUT] Equipamento reiniciando","subAssunto","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.6.5.1][INPUT] Menu selecionar modelo da maquina","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.6.5.1][MSG] Menu selecionar modelo da maquina","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.5.2][MSG] Reinicialização","msg","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.6.0][MSG] POS travando","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.6.1][MSG] POS travando 2 instrução","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.6.2][MSG] POS travando 3 instrução","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.6.3][MSG] POS travando 4 instrução","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.7.0][INPUT] Menu Bateria","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.6.7.0][INPUT] Menu Bateria","subAssunto","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.6.7.0][MSG] Menu Bateria","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.7.1][MSG] Bateria","msg","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.7.1][MSG] Bateria","segundoAtendimentoBateriaFraca","true",""
"[DEV] SPD Maquina Safrapay","[MS.6.8.0][MSG] Menu Impressão","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.8.0][INPUT] Menu Impressão","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.6.8.0][INPUT] Menu Impressão","subAssunto","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.6.7.1][MSG] Impressão","msg","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.7.1][MSG] Impressão","segundoAtendimentoBateriaFraca","true",""
"[DEV] SPD Maquina Safrapay","[MS.6.9.0][MSG] Menu USB","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.9.0][INPUT] Menu USB","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.6.9.0][INPUT] Menu USB","subAssunto","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.6.9.1][MSG] USB","msg","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.6.9.1][MSG] USB","segundoAtendimentoBateriaFraca","true",""
"[DEV] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (Suporte Tecnico)","state","Execução de script",""
"[DEV] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (Suporte Tecnico)","atendimento","humano",""
"[DEV] SPD Maquina Safrapay","[Redirect] to WhatsApp PJ (Suporte Tecnico)","msg",,""
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][MSG] Menu Transação não autorizada","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][MSG] Menu Transação não autorizada","transacoesNaoAutorizadas",,""
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][MSG] Menu Transação não autorizada","nrTransacao","1",""
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","exceptionType","lista",""
"[DEV] SPD Maquina Safrapay","[MS.7.0.1][INPUT] Menu Transação não autorizada","motivo","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.7.1.0][MSG] Débito (motivo)","dynamicContent","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.7.1.0][INPUT] Débito (motivo)","debitoMotivo","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.7.1.0][INPUT] Débito (motivo)","exceptionType","quickReply",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.0][MSG] Quantidade de transações","msg","Execução de script",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","quantidade","{{userInput}}",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","nrTransacao","1",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.0][INPUT] Quantidade de transações","exceptionType","MS.7.2.0",""
"[DEV] SPD Maquina Safrapay","[MS.7.2.1][INPUT] Data das transações","exceptionType","data",""
