"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] SPD Solucoes","Exceções","state","Execução de script",""
"[DEV] SPD Solucoes","[Redirect] To Finalizacao (Welcome)","state","Execução de script",""
"[DEV] SPD Solucoes","[Redirect] To WhatsApp PJ (Humano)","state","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","elegivel","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","valorLimiteDiario","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","valorUtilizado","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","resultado","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link","alterar","false",""
"[DEV] SPD Solucoes","Valor","limiteteste","{{valorLimiteDiario}}",""
"[DEV] SPD Solucoes","Breve Mensagem","mensagem",,""
"[DEV] SPD Solucoes","Confirmação","valorFormatado","Execução de script",""
"[DEV] SPD Solucoes","Vender com Link - API","valor","Execução de script",""
"[DEV] SPD Solucoes","Possui limite","valorUtilizado","Execução de script",""
"[DEV] SPD Solucoes","Possui limite","valorLimiteDiario","Execução de script",""
"[DEV] SPD Solucoes","Alterar","alterar","true",""
"[DEV] SPD Solucoes","Script","statusSelecionado","Execução de script",""
"[DEV] SPD Solucoes","Script","sizeStatusSelecionado","Execução de script",""
"[DEV] SPD Solucoes","Script","dinamicoDatas","Execução de script",""
"[DEV] SPD Solucoes","Valor - Alterar","limiteteste","{{valorLimiteDiario}}",""
"[DEV] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","30dias","Execução de script",""
"[DEV] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","numeroLink","Execução de script",""
"[DEV] SPD Solucoes","[S.4.0.0][HTTP] Gestão de links","hoje","{{calendar.date}}",""
"[DEV] SPD Solucoes","Apenas um Link","msg","Execução de script",""
"[DEV] SPD Solucoes","API Cancelar Link","idLinkPagamento","{{linkselecionado@id}}",""
"[DEV] SPD Solucoes","Selecione um Status","dinamico","Execução de script",""
"[DEV] SPD Solucoes","Selecione a Data","dinamicoDatas","Execução de script",""
"[DEV] SPD Solucoes","Mensagem","mensagemLink","Execução de script",""
"[DEV] SPD Solucoes","Filtro Data","dataFormatada","Execução de script",""
"[DEV] SPD Solucoes","Gestão de links - Data especifica","numeroLink","Execução de script",""
"[DEV] SPD Solucoes","API gestão link","numeroLink","Execução de script",""
"[DEV] SPD Solucoes","Apenas uma data","dinamicoDatas","Execução de script",""
"[DEV] SPD Solucoes","[S.2.0.0] [INPUT] Consulta Status Protocolo","numeroProtocolo","{{input.content}}",""
"[DEV] SPD Solucoes","[S.2.0.0] [INPUT] Consulta Status Protocolo","exceptionType","MS.3.0.0",""
"[DEV] SPD Solucoes","[S.2.0.1] [HTTP] Api Consulta Status Protocolo","apiStatus","Execução de script",""
"[DEV] SPD Solucoes","[S.2.0.1] [HTTP] Api Consulta Status Protocolo","exceptionType","erroApi",""
"[DEV] SPD Solucoes","[S.2.2.0] [MSG] Consultar Outro Protocolo","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.2.2.0] [INPUT] Consultar Outro Protocolo","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[S.2.1.0] [MSG] Mensagem Status Protocolo","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.1.0.0][MSG] Menu Soluções","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.1.0.0][INPUT] Menu Soluções","assunto","{{userInput}}",""
"[DEV] SPD Solucoes","[S.1.0.0][INPUT] Menu Soluções","exceptionType","lista",""
"[DEV] SPD Solucoes","[Redirect] To ""Autenticacao"" (Descredenciamento)","state","Execução de script",""
"[DEV] SPD Solucoes","[Redirect] To WhatsApp PJ (Descredenciamento)","state","Execução de script",""
"[DEV] SPD Solucoes","[S.2.0.2][MSG] Protocolo Não Encontrado","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.2.0.2] [INPUT] Protocolo Não Encontrado","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[S.2.1.1][SET] Valida SLA","dentroDoPrazo","Execução de script",""
"[DEV] SPD Solucoes","[S.2.1.3][MSG] Protocolo fora do Prazo","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.2.1.3][INPUT] Protocolo fora do Prazo","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","payloadOcorrenciaSolucao","Execução de script",""
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","apiStatus","Execução de script",""
"[DEV] SPD Solucoes","[S.2.1.4][HTTP] Atualizar Protocolo","exceptionType","erroApi",""
"[DEV] SPD Solucoes","[S.3.0.0][MSG] Menu Boletos","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.0.0][MSG] Menu Boletos","pesquisa","resolutividade",""
"[DEV] SPD Solucoes","[S.3.0.0][INPUT] Menu Boletos","exceptionType","lista",""
"[DEV] SPD Solucoes","[S.3.4.1][MSG] Botão Espécie 33","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.4.1][INPUT] Botão Espécie 33","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[S.3.4.2][MSG] Botão Restrições","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.4.3][MSG] Botão Como funciona","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.5.0][INPUT] Botão Saber Mais?","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[3.4.2][MSG] Botão O que é?","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.6.1][MSG] Botão Boleto com QR Code PIX","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.6.1][INPUT] Botão Boleto com QR Code PIX","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[S.3.7.1][MSG] Boleto Ativado Botão","dynamicContent","Execução de script",""
"[DEV] SPD Solucoes","[S.3.7.1][INPUT] Boleto Ativado Botão","exceptionType","quickReply",""
"[DEV] SPD Solucoes","[Redirect] To ""Autenticacao"" (Boletos)","state","Execução de script",""
