"Bot","Bloco","Variavel","Valor Setado","Descrição"
"[DEV] Seguros","Exceções","userInput","Execução de script",""
"[DEV] Seguros","Exceções","state","Execução de script",""
"[DEV] Seguros","[S.1.0.0][MSG] Menu Seguros","dynamicContent","Execução de script",""
"[DEV] Seguros","[S.1.0.0][INPUT] Menu Seguros","exceptionType","lista",""
"[DEV] Seguros","[S.3.0.0][MSG] Pagamento em atraso","dynamicContent","Execução de script",""
"[DEV] Seguros","[S.3.0.0][INPUT] Pagamento em atraso","exceptionType","quickReply",""
"[DEV] Seguros","[Redirect] to Finalizacao (Welcome)","state","Execução de script",""
"[DEV] Seguros","[Redirect] to Finalizacao (Welcome)","pesquisa","resolutividade",""
"[DEV] Seguros","[S.6.0.0][MSG] Sinistro","dynamicContent","Execução de script",""
"[DEV] Seguros","[S.6.0.0][INPUT] Sinistro","exceptionType","quickReply",""
