Nome do Arquivo,Tracking Name
[BETA] Broadcast,[BC.4.0.0] Atendimento humano api resumo
[BETA] Broadcast,"[BC.4.2.0] Verifica carterização por CNPJ api resumo
[BC.4.2.0] Verifica carterização por CNPJ api resumo 2"
[BETA] Broadcast,[BC.0.0.0][HTTP] Reseta State ID api resumo
[BETA] Broadcast,"SPD Maquina Safrapay [BC.9.0.2][HTTP] Api Consulta Status Protocolo api resumo
SPD Maquina Safrapay [BC.9.0.2][HTTP] Api Consulta Status Protocolo api resumo 2"
[BETA] Conta Corrente,[TC.8.0.0][HTTP] API Pacotes api resumo
[BETA] SPD Autenticacao,[A.0.0.0] Verifica tipo de autenticação api resumo
[BETA] SPD Main,SPD Main [M.1.0.0][MSG][HTTP] Boas vindas api resumo
[BETA] SPD Main,SPD Main [M.3.0.0][MSG][HTTP] Verifica contas api resumo
[BETA] SPD Main,"SPD Main [M.4.0.0][MSG][HTTP] Obtem EC api resumo
SPD Main [M.4.0.0][MSG][HTTP] Obtem EC api resumo"
[BETA] SPD Main,"SPD Main [M.4.0.1][HTTP] Obtem Carterização api resumo
SPD Main [M.4.0.1][HTTP] Obtem Carterização api resumo
SPD Main [M.4.0.1][HTTP] Obtem Carterização api resumo
SPD Main [M.4.0.1][HTTP] Obtem Carterização api resumo"
[BETA] SPD Main,[M.4.0.2][HTTP] Obtem CpfAppKey api resumo v2
[BETA] SPD Main,SPD Main [M.3.1.2][HTTP] Obtem Permissionamento api resumo
[BETA] SPD Main,SPD Main [M.5.5.0][HTTP] Verifica carta serasa api resumo
[BETA] SPD Main,[Redirect] to WhatsApp PJ (Caca_POS) api resumo
[BETA] SPD Maquina Safrapay,SPD Maquina Safrapay [MS.2.1.3] [HTTP] API Simular Vendas api resumo
[BETA] SPD Maquina Safrapay,"[MS.7.3.0][HTTP] API Protocolo api resumo
[MS.7.3.0][HTTP] API Protocolo api resumo 2"
[BETA] SPD Maquina Safrapay,[Redirect] to WhatsApp PJ (Caca_POS) api resumo
[BETA] SPD Solucoes,"SPD Maquina Safrapay [S.2.0.1] [HTTP] Api Consulta Status Protocolo api resumo
SPD Maquina Safrapay [S.2.0.1] [HTTP] Api Consulta Status Protocolo api resumo 2"
[BETA] SPD Solucoes,[S.2.1.0] [HTTP] Consulta Ocorrencias api resumo
[BETA] SPD Solucoes,[S.2.2.6][MSG][HTTP]Protocolo fora do Prazo api resumo
[BETA] SPD Solucoes,[S.2.7.0] [HTTP] Consulta Ocorrencias (60 Dias) api resumo
[BETA] SPD Solucoes,[S.2.8.8.1][MSG][HTTP]Protocolo fora do Prazo api resumo
[BETA] SPD Taxas e Condicoes,"SPD Taxas e Condicoes [TC.3.0.0][HTTP] API Taxas de Antecipação api resumo
SPD Taxas e Condicoes [TC.3.0.0][HTTP] API Taxas de Antecipação api resumo 2"
[BETA] SPD Taxas e Condicoes,[TC.4.0.0][HTTP] API Consultar Máquinas api resumo
[BETA] SPD Taxas e Condicoes,SPD Taxas e Condicoes [TC.2.0.0][HTTP] API Taxas de Venda api resumo
[BETA] SPD Taxas e Condicoes,[TC.5.0.0][HTTP] API Taxas Pix na SafraPay api resumo
[BETA] SPD Taxas e Condicoes,"[TC.7.4.0][HTTP] API Protocolo api resumo
[TC.7.4.0][HTTP] API Protocolo api resumo 2"
[BETA] SPD Taxas e Condicoes,"[TC.6.0.0][HTTP] API Domicilio bancario api resumo
[TC.6.0.0][HTTP] API Domicilio bancario api resumo 2"
